Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
FUL1 binding between 201 and 500bp of TSS (FUL1_500)	10.5	1e-07	11	70	Solyc01g102270.2.1,Solyc01g107825.1.1,Solyc02g063355.1.1,Solyc02g076710.3.1,Solyc02g077920.4.1,Solyc03g082370.1.1,Solyc03g083090.4.1,Solyc03g111970.4.1,Solyc04g005020.3.1,Solyc07g047800.3.1,Solyc10g085880.1.1
FUL1 binding between 101 and 200bp of TSS (FUL1_200)	9.3	5e-04	5	36	Solyc01g099190.4.1,Solyc02g081390.3.1,Solyc04g074850.3.1,Solyc10g006880.3.1,Solyc10g081650.2.1
FUL2 binding between 510 and 100bp of TSS (FUL2_100)	7.4	1e-02	3	27	Solyc03g096950.4.1,Solyc06g051800.3.1,Solyc10g081650.2.1
FUL2 binding between 201 and 500bp of TSS (FUL2_500)	6.3	4e-06	12	128	Solyc01g102270.2.1,Solyc02g076710.3.1,Solyc02g077920.4.1,Solyc03g005020.3.1,Solyc03g007430.3.1,Solyc03g082370.1.1,Solyc03g111970.4.1,Solyc04g005020.3.1,Solyc06g065900.4.1,Solyc07g052480.3.1,Solyc10g006880.3.1,Solyc10g083400.1.1
FUL1 binding between 1001 and 1500bp of TSS (FUL1_1500)	6.2	2e-04	8	86	Solyc01g107825.1.1,Solyc02g078400.3.1,Solyc02g083400.3.1,Solyc05g012020.4.1,Solyc08g005760.1.1,Solyc08g066690.4.1,Solyc08g080090.3.1,Solyc10g006880.3.1
FUL1 binding between 510 and 100bp of TSS (FUL1_100)	5.3	6e-02	2	25	Solyc06g065900.4.1,Solyc12g017240.2.1
FUL2 binding between 101 and 200bp of TSS (FUL2_200)	5.1	5e-03	5	66	Solyc01g099190.4.1,Solyc03g083090.4.1,Solyc04g074850.3.1,Solyc05g015640.3.1,Solyc07g047800.3.1
FUL1 binding between 501 and 1000bp of TSS (FUL1_1000)	4.8	6e-04	8	111	Solyc01g010490.4.1,Solyc01g098740.4.1,Solyc03g005020.3.1,Solyc04g007210.3.1,Solyc06g005965.1.1,Solyc06g051800.3.1,Solyc08g066690.4.1,Solyc10g085880.1.1
FUL2 binding between 501 and 1000bp of TSS (FUL2_1000)	4.4	4e-05	13	197	Solyc01g010490.4.1,Solyc01g096350.3.1,Solyc01g098740.4.1,Solyc01g099040.4.1,Solyc02g063355.1.1,Solyc03g097930.3.1,Solyc04g007210.3.1,Solyc05g052790.3.1,Solyc06g005965.1.1,Solyc06g051800.3.1,Solyc10g085880.1.1,Solyc12g005860.2.1,Solyc12g099340.3.1
FUL1 binding between 0 and 50bp of TSS (FUL1_50)	4.3	8e-02	2	31	Solyc03g005020.3.1,Solyc04g005630.3.1
FUL1 binding between 1501 and 2000bp of TSS (FUL1_2000)	4.1	2e-02	4	65	Solyc08g007850.1.1,Solyc09g007270.3.1,Solyc10g079050.2.1,Solyc11g022460.3.1
FUL2 binding between 1001 and 1500bp of TSS (FUL2_1500)	4	9e-04	9	149	Solyc02g078400.3.1,Solyc02g083400.3.1,Solyc03g097700.3.1,Solyc05g012020.4.1,Solyc08g005760.1.1,Solyc08g066690.4.1,Solyc08g080090.3.1,Solyc10g006880.3.1,Solyc10g079050.2.1
FUL2 binding between 1501 and 2000bp of TSS (FUL2_2000)	3.5	1e-02	6	116	Solyc03g032020.4.1,Solyc05g056000.3.1,Solyc08g007850.1.1,Solyc09g007270.3.1,Solyc10g085880.1.1,Solyc11g022460.3.1
