Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
FUL1 binding between 0 and 50bp of TSS (FUL1_50)	3.7	3e-03	7	31	Solyc01g097250.4.1,Solyc02g083835.1.1,Solyc03g005020.3.1,Solyc03g114830.3.1,Solyc04g005630.3.1,Solyc04g082420.3.1,Solyc06g068500.3.1
FUL1 binding between 101 and 200bp of TSS (FUL1_200)	3.7	2e-03	8	36	Solyc01g096100.2.1,Solyc01g099190.4.1,Solyc01g100810.3.1,Solyc07g041190.3.1,Solyc09g082460.3.1,Solyc10g006880.3.1,Solyc10g081650.2.1,Solyc10g085890.1.1
FUL1 binding between 1001 and 1500bp of TSS (FUL1_1500)	3.5	4e-05	18	86	Solyc01g107825.1.1,Solyc02g078400.3.1,Solyc02g088270.3.1,Solyc02g088910.3.1,Solyc03g112090.3.1,Solyc04g081420.4.1,Solyc05g007060.4.1,Solyc06g068500.3.1,Solyc06g074290.1.1,Solyc08g005760.1.1,Solyc08g066690.4.1,Solyc08g069030.4.1,Solyc09g010930.4.1,Solyc09g090640.3.1,Solyc09g090790.3.1,Solyc10g006880.3.1,Solyc10g079370.3.1,Solyc10g081530.2.1
FUL1 binding between 201 and 500bp of TSS (FUL1_500)	3.1	7e-04	13	70	Solyc01g102270.2.1,Solyc01g107825.1.1,Solyc02g063355.1.1,Solyc02g068590.3.1,Solyc02g069800.1.1,Solyc02g072190.4.1,Solyc02g078030.3.1,Solyc03g111970.4.1,Solyc04g005020.3.1,Solyc04g082510.3.1,Solyc07g056570.1.1,Solyc08g061270.1.1,Solyc10g085880.1.1
FUL2 binding between 101 and 200bp of TSS (FUL2_200)	2.8	3e-03	11	66	Solyc01g096100.2.1,Solyc01g099190.4.1,Solyc01g100810.3.1,Solyc03g031920.3.1,Solyc03g117950.3.1,Solyc06g075170.1.1,Solyc06g076260.3.1,Solyc07g041190.3.1,Solyc07g064660.1.1,Solyc09g082460.3.1,Solyc10g085890.1.1
FUL2 binding between 201 and 500bp of TSS (FUL2_500)	2.6	4e-04	20	128	Solyc01g005580.2.1,Solyc01g086870.3.1,Solyc01g099740.4.1,Solyc01g102270.2.1,Solyc02g068590.3.1,Solyc02g069800.1.1,Solyc02g078030.3.1,Solyc03g005020.3.1,Solyc03g111970.4.1,Solyc03g115500.3.1,Solyc04g005020.3.1,Solyc04g054890.3.1,Solyc04g082020.3.1,Solyc04g082510.3.1,Solyc06g076450.3.1,Solyc07g052480.3.1,Solyc07g056570.1.1,Solyc08g061270.1.1,Solyc10g006880.3.1,Solyc12g099810.2.1
FUL2 binding between 1501 and 2000bp of TSS (FUL2_2000)	2.6	7e-04	18	116	Solyc02g069240.1.1,Solyc02g079730.4.1,Solyc02g091970.4.1,Solyc03g116590.3.1,Solyc05g007010.3.1,Solyc05g007060.4.1,Solyc05g056000.3.1,Solyc06g066410.3.1,Solyc07g047970.4.1,Solyc07g056570.1.1,Solyc07g066160.1.1,Solyc08g007850.1.1,Solyc09g005720.3.1,Solyc09g011110.1.1,Solyc10g085880.1.1,Solyc11g020670.1.1,Solyc11g022460.3.1,Solyc12g007100.2.1
FUL2 binding between 1001 and 1500bp of TSS (FUL2_1500)	2.6	2e-04	23	149	Solyc02g078400.3.1,Solyc02g078840.4.1,Solyc02g088910.3.1,Solyc03g097700.3.1,Solyc03g112090.3.1,Solyc03g117950.3.1,Solyc05g007060.4.1,Solyc06g068500.3.1,Solyc07g053640.1.1,Solyc07g062740.4.1,Solyc07g064620.2.1,Solyc08g005760.1.1,Solyc08g007800.3.1,Solyc08g066690.4.1,Solyc08g069030.4.1,Solyc09g010930.4.1,Solyc09g090640.3.1,Solyc09g090790.3.1,Solyc10g006880.3.1,Solyc10g079370.3.1,Solyc10g081530.2.1,Solyc10g085890.1.1,Solyc10g086180.2.1
FUL1 binding between 501 and 1000bp of TSS (FUL1_1000)	2.5	8e-04	17	111	Solyc01g086870.3.1,Solyc02g087890.4.1,Solyc03g005020.3.1,Solyc03g115500.3.1,Solyc06g005965.1.1,Solyc06g051800.3.1,Solyc06g068490.3.1,Solyc06g084290.3.1,Solyc07g054440.3.1,Solyc07g064620.2.1,Solyc08g066690.4.1,Solyc08g080960.4.1,Solyc09g065520.4.1,Solyc10g017960.2.1,Solyc10g085880.1.1,Solyc11g008350.2.1,Solyc12g096040.3.1
FUL2 binding between 510 and 100bp of TSS (FUL2_100)	2.5	9e-02	4	27	Solyc06g051800.3.1,Solyc06g068500.3.1,Solyc10g081650.2.1,Solyc10g085680.2.1
FUL1 binding between 1501 and 2000bp of TSS (FUL1_2000)	2.3	2e-02	9	65	Solyc03g026020.3.1,Solyc06g066410.3.1,Solyc07g047970.4.1,Solyc07g054750.1.1,Solyc07g066160.1.1,Solyc08g007850.1.1,Solyc09g005720.3.1,Solyc11g022460.3.1,Solyc12g007100.2.1
FUL2 binding between 501 and 1000bp of TSS (FUL2_1000)	1.7	2e-02	20	197	Solyc01g088590.5.1,Solyc01g096350.3.1,Solyc01g099040.4.1,Solyc02g063355.1.1,Solyc02g072190.4.1,Solyc02g081380.3.1,Solyc02g087890.4.1,Solyc04g081420.4.1,Solyc06g005965.1.1,Solyc06g051800.3.1,Solyc06g074290.1.1,Solyc06g084290.3.1,Solyc07g054440.3.1,Solyc08g080960.4.1,Solyc09g005720.3.1,Solyc09g065520.4.1,Solyc10g085880.1.1,Solyc11g006130.2.1,Solyc11g008350.2.1,Solyc12g096040.3.1
