IPR011545	DEAD/DEAH box helicase domain
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR014014	RNA helicase, DEAD-box type, Q motif
IPR001650	Helicase, C-terminal
IPR001650	Helicase, C-terminal
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR041351	Exo-beta-D-glucosaminidase, Ig-fold domain
IPR006102	Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich
IPR018499	Tetraspanin/Peripherin
IPR005162	Retrotransposon gag domain
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type
IPR018392	LysM domain
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR006070	YrdC-like domain
IPR006070	YrdC-like domain
IPR020097	Pseudouridine synthase I, TruA, alpha/beta domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR008758	Peptidase S28
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR001611	Leucine-rich repeat


IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001611	Leucine-rich repeat
IPR001810	F-box domain
IPR001810	F-box domain
IPR027935	Protein dehydration-induced 19, C-terminal
IPR003441	NAC domain
IPR003441	NAC domain
IPR001279	Metallo-beta-lactamase
IPR009976	Exocyst complex component Sec10-like
IPR009976	Exocyst complex component Sec10-like
IPR001650	Helicase, C-terminal
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR018957	Zinc finger, C3HC4 RING-type
IPR000330	SNF2-related, N-terminal domain
IPR001650	Helicase, C-terminal
IPR001841	Zinc finger, RING-type
IPR014905	HIRAN domain
IPR001310	Histidine triad (HIT) protein
IPR001310	Histidine triad (HIT) protein
IPR001310	Histidine triad (HIT) protein
IPR011146	HIT-like domain
IPR001310	Histidine triad (HIT) protein
IPR004265	Dirigent protein
IPR001305	Heat shock protein DnaJ, cysteine-rich domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR001623	DnaJ domain
IPR001305	Heat shock protein DnaJ, cysteine-rich domain
IPR002939	Chaperone DnaJ, C-terminal
IPR001623	DnaJ domain







IPR006068	Cation-transporting P-type ATPase, C-terminal
IPR005782	P-type ATPase, subfamily  IIA, SERCA-type

IPR001757	P-type ATPase
IPR001757	P-type ATPase










IPR013126	Heat shock protein 70 family
IPR001107	Band 7 domain
IPR000163	Prohibitin
IPR000163	Prohibitin
IPR000163	Prohibitin
IPR000163	Prohibitin
IPR000163	Prohibitin
IPR000163	Prohibitin
IPR000163	Prohibitin
IPR030393	EngB-type guanine nucleotide-binding (G) domain
IPR019987	GTP-binding protein, ribosome biogenesis, YsxC
IPR006073	GTP binding domain
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR006740	Protein of unknown function DUF604
IPR008700	RIN4, pathogenic type III effector avirulence factor Avr cleavage site
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain
IPR005150	Cellulose synthase
IPR027934	Cellulose synthase, RING-type zinc finger

IPR018499	Tetraspanin/Peripherin
IPR025304	ALIX V-shaped domain
IPR004328	BRO1 domain
IPR004328	BRO1 domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001206	Diacylglycerol kinase, catalytic domain
IPR001206	Diacylglycerol kinase, catalytic domain
IPR031615	MYND-like zinc finger, mRNA-binding
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR018962	Domain of unknown function DUF1995
IPR005202	Transcription factor GRAS
IPR005202	Transcription factor GRAS
IPR003010	Carbon-nitrogen hydrolase
IPR003010	Carbon-nitrogen hydrolase
IPR019098	Histone chaperone domain CHZ
IPR006085	XPG N-terminal
IPR001044	XPG/Rad2 endonuclease, eukaryotes
IPR001044	XPG/Rad2 endonuclease, eukaryotes
IPR001044	XPG/Rad2 endonuclease, eukaryotes
IPR006084	XPG/Rad2 endonuclease
IPR006084	XPG/Rad2 endonuclease
IPR006084	XPG/Rad2 endonuclease
IPR006084	XPG/Rad2 endonuclease
IPR006086	XPG-I domain
IPR003340	B3 DNA binding domain
IPR003340	B3 DNA binding domain
IPR000834	Peptidase M14, carboxypeptidase A
IPR004331	SPX domain
IPR004331	SPX domain
IPR000916	Bet v I/Major latex protein
IPR024949	Bet v I type allergen
IPR024949	Bet v I type allergen
IPR024949	Bet v I type allergen
IPR024949	Bet v I type allergen
IPR024949	Bet v I type allergen
IPR024949	Bet v I type allergen
IPR024949	Bet v I type allergen
IPR000727	Target SNARE coiled-coil homology domain




IPR002182	NB-ARC
IPR002182	NB-ARC
IPR027521	U6 snRNA phosphodiesterase Usb1
IPR002735	Translation initiation factor IF2/IF5
IPR003307	W2 domain
IPR003307	W2 domain
IPR000608	Ubiquitin-conjugating enzyme E2
IPR000608	Ubiquitin-conjugating enzyme E2
IPR000717	Proteasome component (PCI) domain
IPR000717	Proteasome component (PCI) domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001810	F-box domain
IPR001810	F-box domain
IPR002298	DNA polymerase A
IPR002298	DNA polymerase A
IPR002298	DNA polymerase A
IPR002298	DNA polymerase A
IPR002298	DNA polymerase A
IPR002298	DNA polymerase A
IPR001098	DNA-directed DNA polymerase, family A, palm domain
IPR002562	3'-5' exonuclease domain
IPR002182	NB-ARC


IPR006813	Glycosyl transferase, family 17
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002487	Transcription factor, K-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002487	Transcription factor, K-box
IPR016482	Protein transport protein SecG/Sec61-beta/Sbh
IPR001611	Leucine-rich repeat


IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR016965	Phosphatase PHOSPHO-type

IPR006384	Pyridoxal phosphate phosphatase-related
IPR000727	Target SNARE coiled-coil homology domain
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR032859	GTPase Der, C-terminal KH-domain-like
IPR003441	NAC domain
IPR003441	NAC domain
IPR000782	FAS1 domain
IPR000782	FAS1 domain
IPR015410	Domain of unknown function DUF1985
IPR004648	Tetrapeptide transporter, OPT1/isp4
IPR004813	Oligopeptide transporter, OPT superfamily
IPR004813	Oligopeptide transporter, OPT superfamily
IPR040463	BAP29/BAP31, transmembrane domain
IPR000073	Alpha/beta hydrolase fold-1
IPR000073	Alpha/beta hydrolase fold-1
IPR001236	Lactate/malate dehydrogenase, N-terminal
IPR022383	Lactate/malate dehydrogenase, C-terminal
IPR010097	Malate dehydrogenase, type 1
IPR003851	Zinc finger, Dof-type
IPR003851	Zinc finger, Dof-type
IPR010525	Auxin response factor
IPR001736	Phospholipase D/Transphosphatidylase
IPR000008	C2 domain
IPR000008	C2 domain
IPR001736	Phospholipase D/Transphosphatidylase
IPR001736	Phospholipase D/Transphosphatidylase
IPR024632	Phospholipase D, C-terminal
IPR001736	Phospholipase D/Transphosphatidylase
IPR022571	Magnesium chelatase, subunit H, N-terminal
IPR003672	CobN/magnesium chelatase
IPR003672	CobN/magnesium chelatase
IPR001404	Heat shock protein Hsp90 family
IPR001404	Heat shock protein Hsp90 family
IPR016300	Arsenical pump ATPase, ArsA/GET3
IPR025723	Anion-transporting ATPase-like domain
IPR003480	Transferase
IPR007109	Brix domain
IPR007109	Brix domain
IPR001153	Barwin domain
IPR001153	Barwin domain
IPR001153	Barwin domain
IPR001153	Barwin domain
IPR001153	Barwin domain
IPR001153	Barwin domain
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR004883	Lateral organ boundaries, LOB
