Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
UDP-glucose/GDP-mannose dehydrogenase, N-terminal (IPR001732)	13.8	9e-03	4	4	NIOBTv3_g12520.t1, NIOBTv3_g17817.t1, NIOBTv3_g17976.t1, NIOBTv3_g34225.t1
UDP-glucose/GDP-mannose dehydrogenase, dimerisation (IPR014026)	13.8	9e-03	4	4	NIOBTv3_g12520.t1, NIOBTv3_g17817.t1, NIOBTv3_g17976.t1, NIOBTv3_g34225.t1
UDP-glucose/GDP-mannose dehydrogenase, C-terminal (IPR014027)	13.8	9e-03	4	4	NIOBTv3_g12520.t1, NIOBTv3_g17817.t1, NIOBTv3_g17976.t1, NIOBTv3_g34225.t1
UDP-glucose/GDP-mannose dehydrogenase (IPR017476)	13.8	9e-03	4	4	NIOBTv3_g12520.t1, NIOBTv3_g17817.t1, NIOBTv3_g17976.t1, NIOBTv3_g34225.t1
Photosystem I PsaH, reaction centre subunit VI (IPR004928)	13.8	6e-02	3	3	NIOBTv3_g26930.t1, NIOBTv3_g56724.t1, NIOBTv3_g59351.t1
Light-dependent protochlorophyllide reductase (IPR005979)	13.8	6e-02	3	3	NIOBTv3_g14608.t1, NIOBTv3_g37298.t1, NIOBTv3_g39085.t1
Signal peptide, camelysin (IPR023833)	13.8	6e-02	3	3	NIOBTv3_g26930.t1, NIOBTv3_g56724.t1, NIOBTv3_g59351.t1
Transmembrane protein GPR107/GPR108-like (IPR009637)	9.2	6e-03	6	9	NIOBTv3_g23375.t1, NIOBTv3_g24958.t1, NIOBTv3_g27693.t1, NIOBTv3_g29706.t1, NIOBTv3_g32401.t1, NIOBTv3_g38359.t1
Fructose-1-6-bisphosphatase class I, N-terminal (IPR033391)	8.6	2e-02	5	8	NIOBTv3_g10931.t1, NIOBTv3_g15203.t1, NIOBTv3_g23546.t1, NIOBTv3_g34604.t1, NIOBTv3_g40254.t1
PsbP, C-terminal (IPR002683)	6.9	6e-02	5	10	NIOBTv3_g03368.t1, NIOBTv3_g08843.t1, NIOBTv3_g19127.t1, NIOBTv3_g25930.t1, NIOBTv3_g63454.t1
Chlorophyll A-B binding protein (IPR022796)	6	5e-05	14	32	NIOBTv3_g03871.t1, NIOBTv3_g09113.t1, NIOBTv3_g10087.t1, NIOBTv3_g12650.t1, NIOBTv3_g14363.t1, NIOBTv3_g19795.t1, NIOBTv3_g23360.t1, NIOBTv3_g24464.t1, NIOBTv3_g25385.t1, NIOBTv3_g27397.t1, NIOBTv3_g30733.t1, NIOBTv3_g33198.t1, NIOBTv3_g61087.t1, NIOBTv3_g64051.t1
Laccase (IPR017761)	5.6	6e-03	9	22	NIOBTv3_g15209.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g19445.t1, NIOBTv3_g24882.t1, NIOBTv3_g27562.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
FAS1 domain (IPR000782)	5	1e-02	9	25	NIOBTv3_g07465.t1, NIOBTv3_g07466.t1, NIOBTv3_g13417.t1, NIOBTv3_g14838.t1, NIOBTv3_g19897.t1, NIOBTv3_g28632.t1, NIOBTv3_g30158.t1, NIOBTv3_g38300.t1, NIOBTv3_g40191.t1
PMR5 N-terminal domain (IPR025846)	4.2	5e-05	20	66	NIOBTv3_g02423.t1, NIOBTv3_g04728.t1, NIOBTv3_g10533.t1, NIOBTv3_g10816.t1, NIOBTv3_g11389.t1, NIOBTv3_g12045.t1, NIOBTv3_g16870.t1, NIOBTv3_g17420.t1, NIOBTv3_g18388.t1, NIOBTv3_g18790.t1, NIOBTv3_g20888.t1, NIOBTv3_g21740.t1, NIOBTv3_g22160.t1, NIOBTv3_g26671.t1, NIOBTv3_g33559.t1, NIOBTv3_g34124.t1, NIOBTv3_g36147.t1, NIOBTv3_g36261.t1, NIOBTv3_g36763.t1, NIOBTv3_g56734.t1
Multicopper oxidase, type 3 (IPR011707)	4.1	6e-03	13	44	NIOBTv3_g03072.t1, NIOBTv3_g03147.t1, NIOBTv3_g15209.t1, NIOBTv3_g18512.t1, NIOBTv3_g18568.t1, NIOBTv3_g19445.t1, NIOBTv3_g23208.t1, NIOBTv3_g24882.t1, NIOBTv3_g27562.t1, NIOBTv3_g35364.t1, NIOBTv3_g60137.t1, NIOBTv3_g60652.t1, NIOBTv3_g64623.t1
