Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Polyketide cyclase/dehydrase (IPR019587)	4.6	9e-03	10	18	AT1G73000.1, AT2G26040.1, AT2G38310.1, AT2G40330.1, AT4G17870.1, AT4G18620.1, AT4G32870.1, AT5G05440.1, AT5G45870.1, AT5G46790.1
Peptidase M20 (IPR002933)	4.4	7e-02	8	15	AT1G44180.1, AT1G44350.1, AT1G44820.1, AT1G51780.1, AT3G02875.1, AT4G20070.1, AT5G54140.1, AT5G56660.1
Glutaredoxin-like, plant II (IPR011905)	3.8	7e-02	10	22	AT1G03850.1, AT1G03850.2, AT1G28480.1, AT2G47870.1, AT2G47880.1, AT3G02000.1, AT3G62950.1, AT3G62960.1, AT4G15700.1, AT5G11930.1
Oleosin (IPR000136)	3.6	8e-02	10	23	AT1G48990.1, AT2G25890.1, AT3G01570.1, AT3G18570.1, AT4G25140.1, AT5G07520.1, AT5G07530.1, AT5G40420.1, AT5G51210.1, AT5G61610.1
Proton-dependent oligopeptide transporter family (IPR000109)	3.2	3e-04	22	56	AT1G12110.1, AT1G18880.1, AT1G22570.1, AT1G32450.1, AT1G62200.1, AT1G69850.1, AT1G69870.1, AT1G72120.1, AT1G72125.1, AT2G02040.1, AT2G26690.1, AT2G40460.1, AT3G01350.1, AT3G25260.1, AT3G47960.1, AT3G53960.1, AT3G54140.1, AT4G21680.1, AT5G14940.1, AT5G46050.1, AT5G62680.1, AT5G62730.1
VQ (IPR008889)	3.1	7e-02	13	35	AT1G17147.1, AT1G21320.1, AT1G21326.1, AT1G35830.1, AT1G68450.1, AT1G78310.1, AT1G80450.1, AT2G22880.1, AT2G35230.1, AT3G15300.1, AT3G22160.1, AT3G56710.1, AT5G65170.1
UDP-glucuronosyl/UDP-glucosyltransferase (IPR002213)	2.9	6e-08	45	128	AT1G01390.1, AT1G05560.1, AT1G07240.1, AT1G07250.1, AT1G22340.1, AT1G22370.1, AT1G22370.2, AT1G22380.1, AT1G22400.1, AT1G24100.1, AT2G15480.1, AT2G18570.1, AT2G22930.1, AT2G31750.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT2G36970.1, AT2G43820.1, AT3G11340.1, AT3G21560.1, AT3G21780.1, AT3G21790.1, AT3G46660.1, AT3G46670.1, AT3G46680.1, AT3G46690.1, AT3G46700.1, AT3G50740.1, AT4G01070.1, AT4G15260.1, AT4G15280.1, AT4G15490.1, AT4G15550.1, AT4G34135.1, AT4G36770.1, AT5G03490.1, AT5G05870.1, AT5G05880.1, AT5G12890.1, AT5G38040.1, AT5G49690.1, AT5G53990.1, AT5G65550.1, AT5G66690.1
Cytochrome P450, E-class, group I (IPR002401)	2	1e-04	62	256	AT1G16410.2, AT1G64900.1, AT1G64930.1, AT1G64940.1, AT1G64950.1, AT1G65670.1, AT2G02580.1, AT2G12190.1, AT2G24180.1, AT2G30750.1, AT2G45510.1, AT2G45570.1, AT2G46950.1, AT3G03470.1, AT3G13730.1, AT3G14610.1, AT3G14620.1, AT3G14630.1, AT3G14660.1, AT3G14690.1, AT3G20110.1, AT3G20140.1, AT3G26160.1, AT3G26170.1, AT3G26180.1, AT3G26210.1, AT3G26220.1, AT3G26230.1, AT3G26280.1, AT3G26290.1, AT3G48270.1, AT3G48310.1, AT3G48320.1, AT3G48520.1, AT3G56630.1, AT3G61040.1, AT4G12300.1, AT4G13770.1, AT4G15380.1, AT4G22690.1, AT4G22710.1, AT4G31500.1, AT4G31970.1, AT4G36220.1, AT4G37310.1, AT4G37320.1, AT4G37370.1, AT5G08250.1, AT5G09970.1, AT5G10610.1, AT5G23190.1, AT5G24950.1, AT5G24960.1, AT5G25120.1, AT5G25130.1, AT5G25140.1, AT5G25180.1, AT5G25900.1, AT5G36110.1, AT5G36220.1, AT5G57260.1, AT5G67310.1
Cytochrome P450 (IPR001128)	1.9	2e-04	66	285	AT1G16410.2, AT1G17060.1, AT1G55940.1, AT1G64900.1, AT1G64930.1, AT1G64940.1, AT1G64950.1, AT1G65670.1, AT2G02580.1, AT2G12190.1, AT2G24180.1, AT2G30750.1, AT2G45510.1, AT2G45570.1, AT2G46950.1, AT3G03470.1, AT3G13730.1, AT3G14610.1, AT3G14620.1, AT3G14630.1, AT3G14660.1, AT3G14690.1, AT3G20110.1, AT3G20140.1, AT3G26160.1, AT3G26170.1, AT3G26180.1, AT3G26210.1, AT3G26220.1, AT3G26230.1, AT3G26280.1, AT3G26290.1, AT3G30290.1, AT3G48270.1, AT3G48310.1, AT3G48320.1, AT3G48520.1, AT3G56630.1, AT3G61040.1, AT4G12300.1, AT4G13770.1, AT4G15380.1, AT4G15396.1, AT4G22690.1, AT4G22710.1, AT4G31500.1, AT4G31970.1, AT4G36220.1, AT4G37310.1, AT4G37320.1, AT4G37370.1, AT5G08250.1, AT5G09970.1, AT5G10610.1, AT5G23190.1, AT5G24950.1, AT5G24960.1, AT5G25120.1, AT5G25130.1, AT5G25140.1, AT5G25180.1, AT5G25900.1, AT5G36110.1, AT5G36220.1, AT5G57260.1, AT5G67310.1
Zinc finger, RING-type (IPR001841)	1.5	3e-03	110	593	AT1G05120.1, AT1G08050.1, AT1G10170.1, AT1G14200.1, AT1G19310.1, AT1G20823.1, AT1G24440.1, AT1G26800.1, AT1G30860.1, AT1G32340.1, AT1G32530.1, AT1G32740.1, AT1G35625.1, AT1G35630.1, AT1G45976.1, AT1G55530.1, AT1G61620.1, AT1G62310.1, AT1G62370.1, AT1G68070.1, AT1G73950.1, AT1G74410.1, AT1G75400.1, AT1G78420.1, AT1G79380.1, AT2G01735.1, AT2G18670.1, AT2G20030.1, AT2G23780.1, AT2G26350.1, AT2G27940.1, AT2G28840.1, AT2G30580.1, AT2G31510.1, AT2G35910.1, AT2G37150.2, AT2G37150.3, AT2G37580.1, AT2G39100.1, AT2G39720.1, AT2G42030.1, AT2G42160.1, AT2G42350.1, AT2G44410.1, AT3G01650.1, AT3G02340.1, AT3G05200.1, AT3G05250.1, AT3G05545.1, AT3G05670.1, AT3G10815.1, AT3G16720.1, AT3G18290.1, AT3G19910.1, AT3G19950.1, AT3G23280.1, AT3G47990.1, AT3G53410.1, AT3G53690.1, AT3G54360.1, AT3G55530.1, AT3G58040.1, AT3G58720.2, AT3G60966.1, AT3G61790.1, AT3G62240.1, AT3G62690.1, AT4G00070.1, AT4G00305.1, AT4G01020.1, AT4G03510.2, AT4G10150.1, AT4G11360.1, AT4G14365.1, AT4G17920.1, AT4G19700.1, AT4G27470.1, AT4G27880.1, AT4G28370.1, AT4G31450.1, AT4G32600.1, AT4G33565.1, AT4G33940.1, AT4G34040.1, AT4G35840.1, AT5G01450.1, AT5G01960.1, AT5G01980.1, AT5G03450.1, AT5G05130.1, AT5G08139.1, AT5G10370.1, AT5G10650.2, AT5G12310.1, AT5G15820.1, AT5G20910.1, AT5G23110.1, AT5G27420.1, AT5G40250.1, AT5G41350.1, AT5G42200.1, AT5G42940.1, AT5G49665.1, AT5G55970.2, AT5G56340.1, AT5G57740.1, AT5G58410.1, AT5G60250.1, AT5G62910.1, AT5G63750.1
