Accession	Species	Genotype	DAP	Replicate	PE	Stranded
SRR943813	Tomato	WT	35	1	0	0
SRR943814	Tomato	WT	35	2	0	0
SRR943815	Tomato	WT	35	3	0	0
SRR943816	Tomato	WT	45	1	0	0
SRR943817	Tomato	WT	45	2	0	0
SRR943818	Tomato	WT	45	3	0	0
SRR943825	Tomato	KDF12	35	1	0	0
SRR943826	Tomato	KDF12	35	2	0	0
SRR943827	Tomato	KDF12	35	3	0	0
SRR943828	Tomato	KDF12	45	1	0	0
SRR943829	Tomato	KDF12	45	2	0	0
SRR943830	Tomato	KDF12	45	3	0	0
ERR2809794	Arabidopsis	WT	1	1	0	0
ERR2809795	Arabidopsis	WT	1	2	0	0
ERR2809796	Arabidopsis	WT	1	3	0	0
ERR2809797	Arabidopsis	WT	3	1	0	0
ERR2809798	Arabidopsis	WT	3	2	0	0
ERR2809799	Arabidopsis	WT	3	3	0	0
ERR2809806	Arabidopsis	WT	6	1	0	0
ERR2809807	Arabidopsis	WT	6	2	0	0
ERR2809808	Arabidopsis	WT	6	3	0	0
ERR2809815	Arabidopsis	WT	12	1	0	0
ERR2809816	Arabidopsis	WT	12	2	0	0
ERR2809817	Arabidopsis	WT	12	3	0	0
AC1DPA1	Tomato	WT	1	1	1	1
AC1DPA2	Tomato	WT	1	2	1	1
AC1DPA3	Tomato	WT	1	3	1	1
AC3DPA1	Tomato	WT	3	1	1	1
AC3DPA2	Tomato	WT	3	2	1	1
AC3DPA3	Tomato	WT	3	3	1	1
AC15DPA1	Tomato	WT	15	1	1	1
AC15DPA2	Tomato	WT	15	2	1	1
AC15DPA3	Tomato	WT	15	3	1	1
ACbreaker1	Tomato	WT	35	1	1	1
ACbreaker2	Tomato	WT	35	2	1	1
ACbreaker3	Tomato	WT	35	3	1	1
ACrr1	Tomato	WT	45	1	1	1
ACrr2	Tomato	WT	45	2	1	1
ACrr3	Tomato	WT	45	3	1	1
NobtPre1	Tobacco	WT	0	1	1	1
NobtPre2	Tobacco	WT	0	2	1	1
NobtPre3	Tobacco	WT	0	3	1	1
Nobt3DPA1	Tobacco	WT	3	1	1	1
Nobt3DPA2	Tobacco	WT	3	2	1	1
Nobt3DPA3	Tobacco	WT	3	3	1	1
Nobt6DPA1	Tobacco	WT	6	1	1	1
Nobt6DPA2	Tobacco	WT	6	2	1	1
Nobt6DPA3	Tobacco	WT	6	3	1	1
