"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NIOBTv3_g26356",7484.12328093408,9.19707966852618,0.284474974006602,28.8147655067048,1.40109101527274e-182,2.00110824256329e-179
"NIOBTv3_g34962",5879.93974047425,4.85380453987644,0.186316569123317,20.6841751005287,4.80929219785705e-95,1.80167123451524e-92
"NIOBTv3_g30554-D2",20145.6725343147,4.23500242159836,0.165440424881336,19.5538812470936,3.82299195938568e-85,1.23046496135044e-82
"NIOBTv3_g32085",1184.77456089552,4.36408578473539,0.180611204413342,18.6261189922438,1.97324556744673e-77,5.3681675842015e-75
"NIOBTv3_g33573",2499.6146525888,3.49166707112243,0.149566383805882,16.6592720083163,2.59159689899219e-62,5.3354209311504e-60
"NIOBTv3_g34987",1269.54765739452,5.98711954606442,0.315974471722949,15.783298944597,4.05432403785132e-56,7.65697627379987e-54
"NIOBTv3_g59514",1647.82319748246,3.68604469940858,0.172675141217191,15.5554799635581,1.46056214708718e-54,2.67014129481889e-52
"NIOBTv3_g34479",512.094128457826,3.79725357498123,0.185895271388637,15.0474702991946,3.58690094195211e-51,5.8548471661064e-49
"NIOBTv3_g09797",972.287569193962,4.73275884839369,0.249416246987348,14.9659811398856,1.22503810870657e-50,1.93066005932155e-48
"NIOBTv3_g33107",568.805965924252,5.32221642918185,0.28922763687968,14.9439952412982,1.70442546401126e-50,2.66777607558804e-48
"NIOBTv3_g56522",409.416765699301,4.85056316352202,0.257991264533402,14.9251687668033,2.26062912334803e-50,3.5142786888945e-48
"NIOBTv3_g36113",1579.90179190228,3.01987936739826,0.13875872351639,14.5567739181434,5.28957774337632e-48,7.84918380465166e-46
"NIOBTv3_g65734-D5",194599.266242505,9.16176037225851,0.568358749782158,14.3602264861529,9.19262436552603e-47,1.33802453503822e-44
"NIOBTv3_g04888",3047.02974386182,9.38205761509861,0.612380096255004,13.68767153988,1.20302931011022e-42,1.55319919743721e-40
"NIOBTv3_g32613",7340.53582123846,4.88601372700547,0.286141196316396,13.5807558542132,5.20861340467205e-42,6.39797389253063e-40
"NIOBTv3_g15968",7502.94179729667,2.85331264600711,0.136469881887431,13.5803784716092,5.23552038291278e-42,6.39797389253063e-40
"NIOBTv3_g13046",8856.53660067376,8.66142191262048,0.580419849570193,13.1997930778795,8.79763807314616e-40,9.7122524274172e-38
"NIOBTv3_g08593",657.665828456157,5.31771043520155,0.328284608084028,13.1523389427274,1.64990582305611e-39,1.80400229035781e-37
