"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NIOBTv3_g31399",74777.8633219975,-9.17946975352197,0.186743968029222,-43.8004495665531,0,0
"NIOBTv3_g15045",9849.70807069449,-7.57810898694518,0.171764095179673,-38.2973460202156,0,0
"NIOBTv3_g19683",10898.1947765214,-8.07346170607394,0.186230644934187,-37.9822649949672,0,0
"NIOBTv3_g22443",35226.9651558609,-7.48785496237634,0.127794913763271,-50.7677087555655,0,0
"NIOBTv3_g07666",22239.4272651659,-7.80165941786708,0.185351376958622,-36.6960285349565,8.44982886365725e-295,3.86190978384591e-291
"NIOBTv3_g39132",84481.4396585451,-5.81682421712679,0.135340141185009,-35.5905068145468,1.96467119021176e-277,7.48277767311986e-274
"NIOBTv3_g07465",22046.8307962272,-7.67658601021502,0.195642301497432,-34.1264949303545,2.98514514243609e-255,9.74521954213564e-252
"NIOBTv3_g12440",46330.2622868444,-6.9441149019074,0.18463632854224,-32.1936368039703,2.16661939838337e-227,6.18894831148209e-224
"NIOBTv3_g30115",19672.7446115131,-6.36443147634559,0.167188817568616,-32.0860662474868,6.89795643760381e-226,1.75146778346802e-222
"NIOBTv3_g39115",5395.57664703391,-7.69583618960143,0.211730671629138,-31.6243090246731,1.71079787530616e-219,3.90951530464963e-216
"NIOBTv3_g19445",13271.530977502,-9.62185272916383,0.276374050040525,-31.1963179173284,1.19528264717316e-213,2.48314536847283e-210
"NIOBTv3_g38001",49524.7579855992,-8.20281300620431,0.231207218378581,-31.1530628529528,4.61001258531666e-213,8.7790006333047e-210
"NIOBTv3_g18736",14883.2925767797,-5.36867277954836,0.145720122984216,-29.9798867176469,1.79504829526186e-197,3.15541874179416e-194
"NIOBTv3_g07555",6839.52358181361,-9.09919825367636,0.277416438937773,-29.1950912667187,2.23842750448428e-187,3.6537532380339e-184
"NIOBTv3_g22261",5666.9635568531,-9.08325990919472,0.277438612675901,-29.1353097221454,1.28245244577384e-186,1.95377355272159e-183
"NIOBTv3_g30657",4649.02065833071,-5.7747483689431,0.167253119779814,-28.5480377001576,2.97100583313593e-179,3.99373089993073e-176
"NIOBTv3_g29314",8964.79055686451,-9.62509883050441,0.307869222492433,-28.0154630614835,1.05309420040272e-172,1.33696159264461e-169
"NIOBTv3_g35010",13813.8190331994,-7.9387545130501,0.251097770083385,-27.6336763593952,4.38473514464767e-168,5.2736825013415e-165
"NIOBTv3_g15209-D3",35843.6442376083,-7.67864071526899,0.244080546927504,-27.3624457144988,7.67930126139321e-165,8.77436962126788e-162
"NIOBTv3_g12777",2767.08223086418,-6.77820895181742,0.214551176200639,-26.9316116282388,9.3679691363202e-160,1.019413479539e-156
"NIOBTv3_g30430",4762.11495811453,-6.43338661962494,0.202607864597864,-26.8172542581658,2.03329813267032e-158,2.1120422239901e-155
"NIOBTv3_g36147",6088.57414271913,-6.96911785010631,0.22582121408914,-26.432936667102,5.73280859862169e-154,5.6959192215523e-151
"NIOBTv3_g27195",2146.83163341609,-6.59692347225589,0.212871342225209,-26.2925174133331,2.33539505335469e-152,2.22368532330256e-149
"NIOBTv3_g19523",8750.36264760722,-6.37025946181001,0.205398910104616,-26.1455109916347,1.10845263407027e-150,1.01321438375095e-147
"NIOBTv3_g02008",3309.07090950249,-6.00755586675115,0.193153784849314,-25.9252277694569,3.46040654349838e-148,3.04143116661634e-145
"NIOBTv3_g09123",12950.4946719727,-6.12951125448032,0.198308276631531,-25.8663498145934,1.59322297150225e-147,1.34845671647294e-144
"NIOBTv3_g62992-D2",4453.97742450609,-5.06644046981608,0.162931308097073,-24.9580054153455,1.74814566496071e-137,1.42673659770294e-134
"NIOBTv3_g15209",4245.14423240679,-7.70037334064116,0.27101683601617,-24.7230889384355,6.03916578101253e-135,4.75886263543787e-132
"NIOBTv3_g10177",6494.85258135465,-9.31634160628178,0.336817473381567,-24.6909446911637,1.3379867255775e-134,1.0191890884299e-131
"NIOBTv3_g35114",16406.5786814152,-12.1371385689778,0.460058616711481,-24.2080860230084,1.8286633865835e-129,1.34801986161955e-126
"NIOBTv3_g15022",3073.00631476486,-7.76213012015333,0.284849772433207,-23.7392856676371,1.41767786215343e-124,1.01239920331032e-121
"NIOBTv3_g05189",7662.60664169154,-6.08672272327917,0.215753133501749,-23.5765879304735,6.70183033088874e-123,4.64091596125665e-120
"NIOBTv3_g60652",12423.7248456786,-9.58733640983057,0.364673436200183,-23.5480173694819,1.31546736018342e-122,8.84148826909162e-120
"NIOBTv3_g17909-D2",7278.16852730846,-11.787991954792,0.460420974660587,-23.4307135176557,2.07918490249204e-121,1.35752952547852e-118
"NIOBTv3_g04094",6381.43695090084,-7.62993701908361,0.285042842480697,-23.2594404454572,1.14167758533717e-119,7.24711560559027e-117
"NIOBTv3_g41131",6651.89414217789,-5.71090177790148,0.202866601907835,-23.2216724369529,2.75073296387951e-119,1.69891215379931e-116
"NIOBTv3_g33147",2204.21819277501,-8.41802520412772,0.319596125892987,-23.2106230430702,3.55681668474786e-119,2.13895723368047e-116
"NIOBTv3_g36329",67915.450888452,-9.11473786500023,0.352630762038235,-23.0119965090294,3.53522744768209e-117,2.07146199062644e-114
"NIOBTv3_g04235",2703.72242387813,-9.80104854828456,0.386082935465642,-22.7957460426732,5.05302141197186e-115,2.88679113265952e-112
"NIOBTv3_g60137",6010.61376792095,-9.02927310535034,0.354292163652039,-22.662858310454,1.04194143319371e-113,5.80742576374211e-111
"NIOBTv3_g18594",3281.34311466936,-4.78100703114928,0.168741914017257,-22.4070412687306,3.3603582746813e-111,1.82835493554803e-108
"NIOBTv3_g34124",12591.6154693707,-9.39120110196849,0.375773868421705,-22.330454049965,1.87017680941023e-110,9.93890242991685e-108
"NIOBTv3_g11277",5190.34286548104,-8.55331008059387,0.338864314259848,-22.2900723467796,4.61246401967477e-110,2.39554608585472e-107
"NIOBTv3_g04602",5138.20181825478,-6.41330685619273,0.243314597842392,-22.2481795346255,1.17464634655709e-109,5.96511518033834e-107
"NIOBTv3_g02542",11803.9390268719,-7.95227525728702,0.312586797167478,-22.2411033360508,1.3753269101941e-109,6.83238490255555e-107
"NIOBTv3_g63611-D3",23029.1835543074,-5.17175690086383,0.187634794010095,-22.2333865255256,1.6333574698295e-109,7.94159253203057e-107
"NIOBTv3_g29799",1411.69046045336,-6.0254851156916,0.228365117876112,-22.0063605266454,2.50296464714281e-107,1.19161975242724e-104
"NIOBTv3_g00111",1931.53738870634,-8.04341417912802,0.320344441410064,-21.9870029525873,3.83494351521103e-107,1.78849243284903e-104
"NIOBTv3_g19524",1539.45785205089,-4.44889937469607,0.157750698411126,-21.8629737264785,5.85059080859351e-106,2.67395402315958e-103
"NIOBTv3_g19897",54793.2271274434,-4.01863047597832,0.138928248486721,-21.7279819536979,1.11599952351415e-104,5.00055315908734e-102
"NIOBTv3_g28632",23338.161348723,-6.96705538494613,0.275105724450172,-21.690044425182,2.54740948106706e-104,1.11948848964124e-101
"NIOBTv3_g20323",3540.97437891686,-6.8405528107419,0.271334380912762,-21.525295803261,9.02427345424899e-103,3.89099428257543e-100
"NIOBTv3_g29949",1955.11905120507,-6.1216590783943,0.238872801552303,-21.4409470023856,5.54733641873098e-102,2.34755058964519e-99
"NIOBTv3_g36718",8159.10121410923,-5.43307803265741,0.206933158077757,-21.4227534815452,8.19958830627479e-102,3.4068543995453e-99
"NIOBTv3_g36128",38203.6527449706,-7.09841372583289,0.284877759075383,-21.4071247458078,1.14672945033561e-101,4.67947524983382e-99
"NIOBTv3_g11111",5358.53975271171,-11.0375595921446,0.470315897806024,-21.3421652105931,4.61091755221084e-101,1.8485734719846e-98
"NIOBTv3_g32078-D2",71650.6271808552,-3.10338573548448,0.0997700395183619,-21.0823384017741,1.15532130422732e-98,4.55196593865565e-96
"NIOBTv3_g36763",20979.8769640334,-6.09670020532833,0.243487431725499,-20.932087414985,2.73264005611671e-97,1.0584117044471e-94
"NIOBTv3_g26105",1856.81418514141,-4.64032422733835,0.175666182892917,-20.7229653846206,2.15025746767141e-95,8.18961394187118e-93
"NIOBTv3_g02479",1062.76728687456,-6.28225767225865,0.255414944186046,-20.6810830474,5.12766565740473e-95,1.88995831617763e-92
"NIOBTv3_g40694",1853.37065337889,-5.67378624369601,0.22774611043933,-20.5219146648876,1.37201119957606e-93,4.97669840201779e-91
"NIOBTv3_g31534",8869.57227420795,-6.16195659531327,0.252931833448975,-20.4084892159477,1.40562709153807e-92,5.01896723372311e-90
"NIOBTv3_g34662",8189.39923704756,-5.18303026920952,0.206136769939383,-20.2924993461361,1.49783696952033e-91,5.2659339119198e-89
"NIOBTv3_g07466",6352.2885010239,-12.122669236588,0.550935544134915,-20.1886942220309,1.23074348971807e-90,4.26135609500564e-88
"NIOBTv3_g16220",6977.14882611746,-10.5815695276205,0.476868669679035,-20.0926798862034,8.55193106111944e-90,2.91684669565226e-87
"NIOBTv3_g21632",2808.70248338378,-9.41571956689837,0.421339891303616,-19.9737070725972,9.32675340886554e-89,3.13433777793228e-86
"NIOBTv3_g23771",8570.50348005422,-8.41652983103705,0.373114913982852,-19.877334175331,6.39422118397466e-88,2.11769192023462e-85
"NIOBTv3_g14612",5300.60864364439,-6.84135487510207,0.295239658649449,-19.7851294836978,3.99869593704518e-87,1.30540285076224e-84
"NIOBTv3_g12931",2376.30561908973,-7.97440057788473,0.361854007478571,-19.274073061904,8.86747737249939e-83,2.81443879050495e-80
"NIOBTv3_g11864",3005.87370278236,-6.58423998225994,0.290543049949987,-19.2200088187316,2.51727247927519e-82,7.88009735567078e-80
"NIOBTv3_g27822",19640.1769682278,-5.73842724513261,0.246547797563426,-19.2191019021925,2.56165474278943e-82,7.91066678138164e-80
"NIOBTv3_g27437",1165.94066150715,-5.34259124384465,0.226198519143863,-19.1981417927973,3.83570631992957e-82,1.16871414430707e-79
