"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc07g064170.3",102283.106484643,-13.5640770533219,0.299336881722399,-41.9730337973308,0,0
"Solyc09g091800.3",14364.731166977,-9.92976709634423,0.231506703551494,-38.5723910338431,0,0
"Solyc05g005080.3",44929.7994165146,-7.6280351073075,0.114759671323046,-57.75578677504,0,0
"Solyc05g055400.3",57175.411940769,-12.075345800258,0.278827474491618,-39.7211423316569,0,0
"Solyc06g035580.3",76546.6618118396,-10.6915989745562,0.221355190455277,-43.7830211011667,0,0
"Solyc03g111550.3",26957.748159406,-7.94634897237689,0.189699740005894,-36.6175988019861,1.50094739534604e-293,4.53398684449156e-290
"Solyc06g035720.3",8872.20353106415,-5.71637299497185,0.129616347914796,-36.3871770100497,6.79094394402588e-290,1.82344390390366e-286
"Solyc10g007310.1",4569.81926338722,-7.11092469382607,0.17237284698822,-35.4517825782834,2.72290035446211e-275,6.58016099659313e-272
"Solyc10g075090.2",151963.657020585,-13.5204828957959,0.353417345347448,-35.4269055003139,6.57994109140208e-275,1.44555324013475e-271
"Solyc01g111145.1",87841.1514884505,-8.95704646001685,0.227903108126654,-34.9141638542061,4.53261211863169e-267,8.42577726606565e-264
"Solyc07g049140.3",313073.653898928,-11.5009552444554,0.305125612846359,-34.4151877205502,1.49456367950865e-259,2.40784172526707e-256
"Solyc01g111300.3",8637.26124355076,-7.82992334696647,0.20115169946462,-33.9540921858717,1.06140032366825e-252,1.60311251386043e-249
"Solyc10g075070.2",72342.9368270843,-15.2113971861113,0.437565958200509,-32.4782970881823,2.15967208053155e-231,2.89947974989586e-228
"Solyc06g074630.3",3939.61705238349,-6.21930208336522,0.168063328440741,-31.0555677540656,9.59547662170752e-212,1.15942144020092e-208
"Solyc08g077510.3",2281.86405665683,-6.27683837995056,0.175352970134078,-30.0926661003563,6.04349750791592e-199,6.95462670363314e-196
"Solyc07g052230.3",2983.1875903176,-6.86192815956201,0.198110064452172,-29.5892496717511,2.05473810013456e-192,2.15890438816747e-189
"Solyc06g074120.3",8065.66858591947,-5.20348172520281,0.145716274316574,-28.8470299211095,5.52071773424792e-183,5.33654659063341e-180
"Solyc04g071610.3",152837.327145293,-11.7544641921824,0.381043310495913,-28.2237317804789,2.99117858118827e-175,2.67721561455539e-172
"Solyc04g074850.3",2048.46345735255,-6.95972386960001,0.212040641669747,-28.1065168576611,8.15479866855928e-174,7.03817373658584e-171
