Accession,Species,Stage,Replicate,NumMap,PctMap,MeanCov,PctExon,PctIntron,PctOther
ERR2809794,A. thaliana,1,1,25211195,95.09,55.7451,97.08829732816578,0.753800340435857,2.157902331398361
ERR2809795,A. thaliana,1,2,25758231,93.59,53.234,95.9045797496789,0.8852340809194023,3.2101861694016947
ERR2809796,A. thaliana,1,3,25607402,94,60.0623,96.00729063876251,0.8841268030435337,3.108582558193959
ERR2809797,A. thaliana,2,1,14763128,50.64,32.9518,72.79578013608253,0.4078081211658324,26.796411742751644
ERR2809798,A. thaliana,2,2,20542473,89.7,30.2996,95.20658369378282,0.3820973328519226,4.411318973365255
ERR2809799,A. thaliana,2,3,14102810,55.2,33.7706,70.84972432419387,0.38395324737250497,28.766322428433625
ERR2809800,A. thaliana,2,4,10292232,80.46,14.8214,91.70884442614155,0.33433034927840394,7.956825224580044
ERR2809801,A. thaliana,2,4,9291675,80.5,11.8777,91.73148704707869,0.32751266332161383,7.9410002895997
ERR2809802,A. thaliana,2,5,4681861,38.54,14.7438,65.57614531693967,0.19213442568073755,34.23172025737959
ERR2809803,A. thaliana,2,5,4153980,38.61,11.6983,65.58339862918734,0.18777861300902093,34.22882275780364
ERR2809804,A. thaliana,2,6,3026548,29.24,12.1381,56.05294441529403,0.12517011102624068,43.82188547367973
ERR2809805,A. thaliana,2,6,2673740,29.35,9.8527,55.99049312304345,0.12127287455832986,43.88823400239822
ERR2809806,A. thaliana,3,1,17815948,62.67,41.6294,79.35511515948401,0.5629895971040061,20.081895243411978
ERR2809807,A. thaliana,3,2,18602464,79.23,37.3341,87.43149548634621,0.6546663059629105,11.913838207690887
ERR2809808,A. thaliana,3,3,18266025,72.6,48.1423,83.3442960904545,0.6399356436073325,16.015768265938163
ERR2809809,A. thaliana,3,4,7597681,66.75,13.803,80.97630643527152,0.3251481763358014,18.698545388392674
ERR2809810,A. thaliana,3,4,6858248,66.89,11.341,80.98816326257571,0.3186368196956919,18.69319991772859
ERR2809811,A. thaliana,3,5,7389425,64.52,15.524,82.9867886960252,0.29281235898647345,16.720398944988332
ERR2809812,A. thaliana,3,5,6662718,64.49,11.5671,83.0180141043604,0.2845665578282822,16.69741933781131
ERR2809813,A. thaliana,3,6,7416559,59.8,18.1343,78.2258128836313,0.2786790321963171,21.49550808417237
ERR2809814,A. thaliana,3,6,6773576,59.68,14.7601,78.15138518673135,0.2668868029940657,21.58172801027459
ERR2809815,A. thaliana,Tr,1,17129049,80.13,33.5985,89.85508963629596,0.6316531575354557,9.51325720616859
ERR2809816,A. thaliana,Tr,2,21037038,83.09,41.5525,90.18631961671493,0.6493676090267946,9.164312774258278
ERR2809817,A. thaliana,Tr,3,22853979,89.02,38.9585,93.74631234537011,0.798523597420161,5.455164057209728
SRR3199616,C. melo,2,1,7498534,94.91,15.1975,89.32767506093514,1.8751837871581185,8.797141151906743
SRR3199617,C. melo,2,2,5202900,94.67,10.72,89.85704738006908,1.5819703075829188,8.560982312348003
SRR3199618,C. melo,2,3,5524783,95.25,11.2767,90.35220103201087,1.8338179645237995,7.813981003465329
SRR3199622,C. melo,3,1,3994611,92.47,9.2545,87.63827585276455,2.3521147969197855,10.009609350315657
SRR3199623,C. melo,3,2,6083777,93.79,13.3343,90.05075596991396,2.2420235080886224,7.707220521997414
