Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
AC15DPA1	167.0745	100.0	95783594.0	95783594.0	0.0	94.7	44810687.0
AC15DPA2	166.8761	100.0	99483323.0	99483323.0	0.0	95.58	46577371.0
AC15DPA3	148.4926	100.0	84918830.0	84918830.0	0.0	95.33	39555444.0
AC1DPA1	122.0347	100.0	81849944.0	81849944.0	0.0	83.27	34300705.0
AC1DPA2	289.0509	100.0	188026551.0	188026551.0	0.0	90.78	83035923.0
AC1DPA3	115.3549	100.0	76883759.0	76883759.0	0.0	90.07	34083803.0
AC3DPA1	321.9785	100.0	200859852.0	200859852.0	0.0	90.49	92578505.0
AC3DPA2	369.1168	100.0	222266027.0	222266027.0	0.0	91.71	101256999.0
AC3DPA3	158.232	100.0	99411017.0	99411017.0	0.0	90.66	45800053.0
ACbreaker1	144.938	100.0	85804400.0	85804400.0	0.0	93.82	40251641.0
ACbreaker2	147.5296	100.0	85417964.0	85417964.0	0.0	93.02	40114551.0
ACbreaker3	193.8491	100.0	117295967.0	117295967.0	0.0	94.66	52513142.0
ACrr1	117.7096	100.0	70776259.0	70776259.0	0.0	95.86	32441631.0
ACrr2	77.316	100.0	45251527.0	45251527.0	0.0	95.99	21439720.0
ACrr3	100.2398	100.0	60555291.0	60555291.0	0.0	96.09	28111937.0
ERR2809794	55.7451	100.0	27859469.0	27859469.0	0.0	95.09	25211195.0
ERR2809795	53.234	100.0	29314338.0	29314338.0	0.0	93.59	25758231.0
ERR2809796	60.0623	100.0	28874425.0	28874425.0	0.0	94.0	25607402.0
ERR2809797	32.9518	100.0	44335172.0	44335172.0	0.0	50.64	14763128.0
ERR2809798	30.2996	100.0	25337744.0	25337744.0	0.0	89.7	20542473.0
ERR2809799	33.7706	100.0	37559285.0	37559285.0	0.0	55.2	14102810.0
