Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
AC15DPA1	STAR/SlycIH/AC15DPA1.Aligned.sortedByCoord.out.bam	95783594.0	95783594.0	20251115505.0	6756516108.0	845.1466	269.0	249.4078	0.0	167.0745	100.0
AC15DPA2	STAR/SlycIH/AC15DPA2.Aligned.sortedByCoord.out.bam	99483323.0	99483323.0	20227062667.0	7032383165.0	822.8677	272.0	249.3403	0.0	166.8761	100.0
AC15DPA3	STAR/SlycIH/AC15DPA3.Aligned.sortedByCoord.out.bam	84918830.0	84918830.0	17998795626.0	5997239219.0	848.7097	276.0	249.47	0.0	148.4926	100.0
AC1DPA1	STAR/SlycIH/AC1DPA1.Aligned.sortedByCoord.out.bam	81849944.0	81849944.0	14791830379.0	5247043521.0	915.509	262.0	249.2197	0.0	122.0347	100.0
AC1DPA2	STAR/SlycIH/AC1DPA2.Aligned.sortedByCoord.out.bam	188026551.0	188026551.0	35035880454.0	12946767187.0	864.9119	272.0	249.4895	0.0	289.0509	100.0
AC1DPA3	STAR/SlycIH/AC1DPA3.Aligned.sortedByCoord.out.bam	76883759.0	76883759.0	13982181642.0	5228749154.0	857.9979	259.0	249.6195	0.0	115.3549	100.0
AC3DPA1	STAR/SlycIH/AC3DPA1.Aligned.sortedByCoord.out.bam	200859852.0	200859852.0	39027037153.0	13654808266.0	865.2718	288.0	249.0744	0.0	321.9785	100.0
AC3DPA2	STAR/SlycIH/AC3DPA2.Aligned.sortedByCoord.out.bam	222266027.0	222266027.0	44740677464.0	15203065474.0	905.5578	300.0	249.0561	0.0	369.1168	100.0
AC3DPA3	STAR/SlycIH/AC3DPA3.Aligned.sortedByCoord.out.bam	99411017.0	99411017.0	19179312107.0	6737077029.0	841.2524	270.0	249.2532	0.0	158.232	100.0
ACbreaker1	STAR/SlycIH/ACbreaker1.Aligned.sortedByCoord.out.bam	85804400.0	85804400.0	17567948057.0	6014092408.0	836.5006	273.0	249.2065	0.0	144.938	100.0
ACbreaker2	STAR/SlycIH/ACbreaker2.Aligned.sortedByCoord.out.bam	85417964.0	85417964.0	17882075030.0	5996117643.0	828.3663	267.0	248.9011	0.0	147.5296	100.0
ACbreaker3	STAR/SlycIH/ACbreaker3.Aligned.sortedByCoord.out.bam	117295967.0	117295967.0	23496461336.0	7947421525.0	917.7309	308.0	248.7059	0.0	193.8491	100.0
