Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
RSeQC_AC15DPA1	91650135	113964485	110575934	34980075	91804893	2624.49	3468699	4077971	1175.65	5814322	10201798	1754.6	76964371	2922399	37.97	30803147	326315	10.59	4.82	3.62	26782809	624691	23.32	9.02	6.22	3388551	80.55570382299364	3.57828230435122	8.951734393394574	2.5643067662702115	0.28633043004581643	0.46612854873165094	0.5341681665125763	0.548145327906321	0.7513375767898218	0.8424650890143539	2.973339457463437	57618583	79518293	77541	204906	59470351	68122682	103853	231567
RSeQC_AC15DPA2	95272869	117823787	114466968	34980075	94804547	2710.24	3468699	4017358	1158.17	5814322	10935730	1880.83	76964371	3023213	39.28	30803147	332302	10.79	5.1	3.9	26782809	680919	25.42	9.73	6.68	3356819	80.46299428484674	3.409632386030845	9.281428036258927	2.5658766170875156	0.2820330329392655	0.4777821306999748	0.556155099648936	0.5779130151367482	0.7835531546783504	0.874897188629661	2.8490163874973735	57618583	79518293	92342	230639	59470351	68122682	107625	242293
RSeQC_AC15DPA3	81121942	101134726	98180381	34980075	81546756	2331.23	3468699	3943321	1136.83	5814322	8667247	1490.67	76964371	2601336	33.8	30803147	309733	10.06	4.49	3.36	26782809	539252	20.13	7.92	5.55	2954345	80.63180593379963	3.899077157731164	8.570000970784259	2.5721491547819095	0.306257812969207	0.48979813323467153	0.5579804507504178	0.5332016225564303	0.743118639585774	0.8477889187142308	2.921197413438387	57618583	79518293	68956	185623	59470351	68122682	105858	212299
RSeQC_AC1DPA1	71910387	87554769	83394781	34980075	66005771	1886.95	3468699	2984527	860.42	5814322	9793861	1684.44	76964371	2819420	36.63	30803147	226896	7.37	5.55	4.33	26782809	695874	25.98	9.76	6.9	4159988	75.38797915165534	3.4087543535178537	11.18598234209264	3.2201786746761907	0.25914750571725	0.6995495585169096	0.8299799180556344	0.7947870892104119	1.0577162278847427	1.2158275467553343	4.751298013246999	57618583	79518293	114198	385593	59470351	68122682	138434	230207
RSeQC_AC1DPA2	173685096	211542234	203813626	34980075	163156820	4664.28	3468699	7598392	2190.56	5814322	19990090	3438.08	76964371	9646586	125.34	30803147	573212	18.61	9.78	7.42	26782809	1464985	54.7	20.27	14.1	7728608	77.12730309920052	3.5919030712325744	9.449692206616293	4.560122968163417	0.2709681131570162	0.5101558112504381	0.5888214265525815	0.6925260135051802	0.9095209800989432	1.0286986002048177	3.653458628029805	57618583	79518293	166411	505983	59470351	68122682	252111	459036
RSeQC_AC1DPA3	70850889	85799275	82377880	34980075	64705015	1849.77	3468699	3093439	891.82	5814322	8791140	1511.98	76964371	4285238	55.68	30803147	238722	7.75	4.2	3.2	26782809	660271	24.65	9.01	6.26	3421395	75.41440763922539	3.6054372254311002	10.246170495030407	4.994492086325905	0.2782331202682074	0.5398367293896131	0.6260251033589735	0.7695531226808152	0.9969023631027186	1.1257938951115847	3.9876735555166403	57618583	79518293	73949	224454	59470351	68122682	110588	195064
RSeQC_AC3DPA1	189526508	232527507	223224399	34980075	177753244	5081.56	3468699	8296509	2391.82	5814322	23155151	3982.43	76964371	9098115	118.21	30803147	956047	31.04	16.18	12.17	26782809	1708343	63.79	25.3	18.64	9303108	76.44396411130835	3.567968842499137	9.958026600267985	3.9127048310890804	0.4111543672121337	0.7675423105963975	0.8792770482848724	0.734684262537593	1.0324636560095233	1.2371951332192281	4.000863433331352	57618583	79518293	259814	828700	59470351	68122682	476057	692419
RSeQC_AC3DPA2	208241558	258458997	249042722	34980075	202526024	5789.75	3468699	9261112	2669.91	5814322	24203031	4162.66	76964371	8397900	109.11	30803147	944383	30.66	15.03	11.32	26782809	1638339	61.17	24.42	17.84	9416275	78.3590536026107	3.58320356710198	9.364360026515154	3.2492194496908926	0.3653898726535722	0.6415125877780915	0.7355824413417499	0.6338873937516672	0.8967437879517888	1.0653434517506852	3.6432374609888316	57618583	79518293	243132	713664	59470351	68122682	435761	679376
RSeQC_AC3DPA3	93728156	114173628	109505949	34980075	86551038	2474.3	3468699	3844463	1108.33	5814322	11352162	1952.45	76964371	5211657	67.72	30803147	442997	14.38	7.93	6.01	26782809	950203	35.48	13.98	9.96	4667679	75.80650585965438	3.367207530621695	9.9428932923109	4.5646767045013235	0.38800291079477656	0.7665553029461409	0.8840263883004577	0.8322438523193815	1.1617656574773993	1.3464615488963878	4.088228675714851	57618583	79518293	134121	432207	59470351	68122682	210874	376227
RSeQC_ACbreaker1	82307362	101441297	98027943	34980075	81336630	2325.23	3468699	3658523	1054.72	5814322	8254146	1419.62	76964371	3200028	41.58	30803147	360758	11.71	5.53	4.09	26782809	591231	22.08	8.58	5.78	3413354	80.18098388469934	3.6065420180895362	8.136869543377388	3.1545614011618954	0.3556322825801409	0.6019441963562433	0.6772813640188374	0.5828306789097936	0.8028465960958681	0.8789053633649815	3.364856425288017	57618583	79518293	76423	249862	59470351	68122682	77155	223187
