Module	Section	Sample Name	Source
QualiMap	genome_results	Nobtbr2.1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobtbr2.1/genome_results.txt
QualiMap	genome_results	Nobtbr1.1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobtbr1.1/genome_results.txt
QualiMap	genome_results	NobtPre2	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/NobtPre2/genome_results.txt
QualiMap	genome_results	Nobtbr3.1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobtbr3.1/genome_results.txt
QualiMap	genome_results	Nobtbr1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobtbr1/genome_results.txt
QualiMap	genome_results	NobtPre3	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/NobtPre3/genome_results.txt
QualiMap	genome_results	Nobt3DPA2	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobt3DPA2/genome_results.txt
QualiMap	genome_results	NobtPre1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/NobtPre1/genome_results.txt
QualiMap	genome_results	Nobt6DPA3	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobt6DPA3/genome_results.txt
QualiMap	genome_results	Nobtbr3	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobtbr3/genome_results.txt
QualiMap	genome_results	Nobt6DPA2	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobt6DPA2/genome_results.txt
QualiMap	genome_results	Nobtbr2	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobtbr2/genome_results.txt
QualiMap	genome_results	Nobt6DPA1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobt6DPA1/genome_results.txt
QualiMap	genome_results	Nobt3DPA1	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobt3DPA1/genome_results.txt
QualiMap	genome_results	Nobt3DPA3	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/Nobt/QC/Nobt3DPA3/genome_results.txt
QualiMap	genome_results	ERR2809806	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/TAIRRNA/QC/ERR2809806/genome_results.txt
QualiMap	genome_results	ERR2809811	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/TAIRRNA/QC/ERR2809811/genome_results.txt
QualiMap	genome_results	ERR2809815	/bigdata/littlab/arajewski/FULTranscriptomes/STAR/TAIRRNA/QC/ERR2809815/genome_results.txt
