Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
AC15DPA1	47317504.0	75.0	44810687.0	94.7	74.93	10382196.0	10041496.0	10254065.0	108685.0	3814.0	15632.0	0.39	0.01	1.39	0.01	1.11	1345341.0	2.84	18235.0	0.04	0.0	2.04	0.38	0	963724	179517
AC15DPA2	48732187.0	75.0	46577371.0	95.58	74.98	10416679.0	10071955.0	10286580.0	108427.0	3517.0	18155.0	0.24	0.01	1.38	0.01	1.12	1387363.0	2.85	18486.0	0.04	0.0	1.21	0.32	0	592320	156647
AC15DPA3	41493135.0	75.0	39555444.0	95.33	74.98	9312760.0	9004304.0	9197370.0	96681.0	3578.0	15131.0	0.24	0.01	1.38	0.01	1.11	1279342.0	3.08	13426.0	0.03	0.0	1.25	0.31	0	516765	128158
AC1DPA1	41191735.0	75.0	34300705.0	83.27	74.87	6814089.0	6515967.0	6736908.0	64174.0	2884.0	10123.0	0.41	0.01	1.45	0.01	1.16	1886869.0	4.58	117643.0	0.29	0.0	3.66	8.2	0	1507981	3378537
AC1DPA2	91466438.0	75.0	83035923.0	90.78	74.93	16642554.0	15927776.0	16452010.0	161534.0	6575.0	22435.0	0.25	0.01	1.42	0.01	1.15	4382907.0	4.79	79074.0	0.09	0.0	1.55	2.78	0	1420607	2547927
AC1DPA3	37841887.0	75.0	34083803.0	90.07	74.92	6550363.0	6258091.0	6475586.0	62495.0	2792.0	9490.0	0.28	0.01	1.43	0.01	1.15	1630931.0	4.31	42155.0	0.11	0.0	2.02	3.49	0	764373	1320625
AC3DPA1	102304011.0	75.0	92578505.0	90.49	74.95	19210007.0	18455085.0	18983882.0	192525.0	8984.0	24616.0	0.27	0.01	1.39	0.01	1.17	2785499.0	2.72	138874.0	0.14	0.0	2.02	4.63	0	2065908	4735225
AC3DPA2	110413347.0	75.0	101256999.0	91.71	74.95	22689602.0	21838841.0	22417057.0	234776.0	10209.0	27560.0	0.27	0.01	1.42	0.01	1.15	3480372.0	3.15	116195.0	0.11	0.0	1.9	3.14	0	2095949	3463832
AC3DPA3	50520329.0	75.0	45800053.0	90.66	74.9	9240177.0	8842678.0	9131392.0	92715.0	4336.0	11734.0	0.43	0.01	1.38	0.01	1.16	1374805.0	2.72	64411.0	0.13	0.0	3.15	3.35	0	1590052	1691008
ACbreaker1	42903383.0	75.0	40251641.0	93.82	74.94	8893026.0	8561333.0	8783974.0	93941.0	2724.0	12387.0	0.39	0.01	1.51	0.0	1.12	1181912.0	2.75	23355.0	0.05	0.0	3.07	0.31	0	1313810	132665
ACbreaker2	43124881.0	75.0	40114551.0	93.02	74.91	8925934.0	8593750.0	8819782.0	91469.0	2846.0	11837.0	0.43	0.01	1.44	0.0	1.12	1187831.0	2.75	22766.0	0.05	0.0	3.96	0.22	0	1705010	94723
ACbreaker3	55474958.0	75.0	52513142.0	94.66	74.92	11726064.0	11298597.0	11587258.0	121826.0	4337.0	12643.0	0.41	0.01	1.42	0.01	1.12	2337599.0	4.21	32651.0	0.06	0.0	0.81	0.26	0	447821	143745
ACrr1	33841135.0	75.0	32441631.0	95.86	75.02	7334867.0	7004922.0	7248181.0	73909.0	2592.0	10185.0	0.14	0.01	1.39	0.01	1.11	912864.0	2.7	44523.0	0.13	0.0	1.06	0.25	0	357744	84373
ACrr2	22334563.0	75.0	21439720.0	95.99	75.03	4823720.0	4604934.0	4766450.0	48784.0	1999.0	6487.0	0.14	0.01	1.37	0.01	1.11	484701.0	2.17	15234.0	0.07	0.0	1.5	0.27	0	334668	60240
ACrr3	29254661.0	75.0	28111937.0	96.09	75.01	6280732.0	5969111.0	6206379.0	62838.0	2442.0	9073.0	0.14	0.01	1.38	0.01	1.11	679787.0	2.32	31537.0	0.11	0.0	1.1	0.38	0	320635	110765
ERR2809794	26512303.0	49.0	25211195.0	95.09	49.23	3442422.0	3419201.0	3408784.0	29167.0	1778.0	2693.0	0.13	0.0	1.26	0.0	1.12	1177118.0	4.44	3319.0	0.01	0.0	0.22	0.24	0	57712	62959
ERR2809795	27521339.0	49.0	25758231.0	93.59	49.23	3234939.0	3210943.0	3201853.0	28383.0	1841.0	2862.0	0.13	0.0	1.26	0.01	1.13	1632001.0	5.93	2928.0	0.01	0.0	0.21	0.25	0	58517	69663
ERR2809796	27241426.0	49.0	25607402.0	94.0	49.22	3167332.0	3143680.0	3135002.0	27720.0	1746.0	2864.0	0.13	0.0	1.26	0.01	1.13	1493006.0	5.48	3984.0	0.01	0.0	0.23	0.27	0	63036	73998
ERR2809797	29154961.0	49.0	14763128.0	50.64	49.33	1959958.0	1948341.0	1940441.0	16332.0	1564.0	1621.0	0.1	0.0	1.26	0.0	1.09	14324446.0	49.13	617.0	0.0	0.0	0.18	0.05	0	52255	14515
ERR2809798	22901051.0	49.0	20542473.0	89.7	49.34	3083561.0	3068565.0	3053183.0	27193.0	1714.0	1471.0	0.1	0.0	1.26	0.0	1.12	2271222.0	9.92	903.0	0.0	0.0	0.26	0.12	0	59152	27301
ERR2809799	25546603.0	49.0	14102810.0	55.2	49.3	1764876.0	1751696.0	1744593.0	17548.0	1203.0	1532.0	0.1	0.0	1.24	0.0	1.12	11375193.0	44.53	1189.0	0.0	0.0	0.2	0.06	0	51855	15556
ERR2809800	12792270.0	49.0	10292232.0	80.46	49.26	1415903.0	1407226.0	1400901.0	13361.0	868.0	773.0	0.14	0.0	1.24	0.0	1.12	2158546.0	16.87	455.0	0.0	0.0	1.96	0.7	0	251290	89747
ERR2809801	11542360.0	49.0	9291675.0	80.5	49.32	1287319.0	1279670.0	1273484.0	12279.0	807.0	749.0	0.09	0.0	1.26	0.0	1.12	1940726.0	16.81	301.0	0.0	0.0	1.93	0.75	0	223000	86658
ERR2809802	12148174.0	49.0	4681861.0	38.54	49.24	523814.0	519745.0	517471.0	5429.0	338.0	576.0	0.15	0.0	1.21	0.0	1.09	7300637.0	60.1	1070.0	0.01	0.0	1.07	0.29	0	129506	35100
ERR2809803	10759787.0	49.0	4153980.0	38.61	49.28	466117.0	462552.0	460529.0	4834.0	301.0	453.0	0.1	0.0	1.23	0.0	1.09	6466669.0	60.1	762.0	0.01	0.0	0.98	0.31	0	105123	33253
ERR2809804	10351759.0	49.0	3026548.0	29.24	49.28	303217.0	300697.0	299567.0	3087.0	232.0	331.0	0.16	0.0	1.2	0.0	1.08	7149815.0	69.07	949.0	0.01	0.0	1.31	0.37	0	136027	38420
ERR2809805	9110879.0	49.0	2673740.0	29.35	49.3	266649.0	264542.0	263402.0	2748.0	205.0	294.0	0.11	0.0	1.19	0.0	1.07	6291979.0	69.06	766.0	0.01	0.0	1.19	0.4	0	108068	36326
ERR2809806	28426467.0	49.0	17815948.0	62.67	49.26	2011160.0	1994678.0	1990446.0	17221.0	1491.0	2002.0	0.11	0.0	1.23	0.01	1.12	10507700.0	36.96	2021.0	0.01	0.0	0.26	0.1	0	72799	27999
ERR2809807	23479920.0	49.0	18602464.0	79.23	49.25	1961416.0	1944595.0	1941923.0	16672.0	1186.0	1635.0	0.11	0.0	1.25	0.01	1.12	4743735.0	20.2	1903.0	0.01	0.0	0.38	0.18	0	89448	42370
ERR2809808	25159090.0	49.0	18266025.0	72.6	49.24	1833024.0	1813989.0	1813717.0	16165.0	1041.0	2101.0	0.11	0.0	1.26	0.01	1.13	6730652.0	26.75	3704.0	0.01	0.0	0.31	0.32	0	78095	80614
ERR2809809	11381973.0	49.0	7597681.0	66.75	49.26	763391.0	757066.0	755656.0	6618.0	467.0	650.0	0.16	0.0	1.26	0.0	1.12	3342163.0	29.36	760.0	0.01	0.0	3.1	0.78	0	352640	88729
ERR2809810	10253547.0	49.0	6858248.0	66.89	49.29	691134.0	685393.0	683955.0	6222.0	414.0	543.0	0.11	0.0	1.26	0.0	1.12	3027252.0	29.52	611.0	0.01	0.0	2.75	0.84	0	281462	85974
ERR2809811	11453021.0	49.0	7389425.0	64.52	49.2	759671.0	753470.0	751752.0	6905.0	476.0	538.0	0.17	0.0	1.23	0.0	1.12	3310314.0	28.9	1352.0	0.01	0.0	3.87	2.7	0	442918	309012
ERR2809812	10332080.0	49.0	6662718.0	64.49	49.27	695302.0	689652.0	688049.0	6375.0	415.0	463.0	0.12	0.0	1.24	0.0	1.12	2987507.0	28.91	1126.0	0.01	0.0	3.72	2.87	0	384266	296463
ERR2809813	12401389.0	49.0	7416559.0	59.8	49.2	858166.0	850992.0	849571.0	7279.0	670.0	646.0	0.2	0.0	1.26	0.0	1.1	4217039.0	34.0	1052.0	0.01	0.0	3.69	2.5	0	457071	309668
ERR2809814	11349992.0	49.0	6773576.0	59.68	49.23	786058.0	779575.0	778131.0	6724.0	639.0	564.0	0.14	0.0	1.26	0.0	1.11	3862551.0	34.03	812.0	0.01	0.0	3.56	2.73	0	403572	309481
ERR2809815	21377830.0	49.0	17129049.0	80.13	49.23	1800648.0	1786093.0	1783970.0	14229.0	966.0	1483.0	0.13	0.0	1.22	0.01	1.13	4169302.0	19.5	1411.0	0.01	0.0	0.27	0.1	0	56969	21099
ERR2809816	25319589.0	49.0	21037038.0	83.09	49.28	2403802.0	2383917.0	2381907.0	18683.0	1184.0	2028.0	0.13	0.0	1.25	0.0	1.12	4118710.0	16.27	2171.0	0.01	0.0	0.52	0.12	0	131357	30313
ERR2809817	25671683.0	49.0	22853979.0	89.02	49.31	3040165.0	3016581.0	3012269.0	24397.0	1612.0	1887.0	0.13	0.0	1.24	0.0	1.12	2696861.0	10.51	2177.0	0.01	0.0	0.3	0.16	0	77391	41275
Nobt3DPA1	61216551.0	150.0	38626770.0	63.1	149.55	15678154.0	12763792.0	15523892.0	107758.0	5255.0	41249.0	0.45	0.02	1.73	0.01	1.66	20883062.0	34.11	1062434.0	1.74	0.0	1.05	0.0	0	644285	0
Nobt3DPA2	54881297.0	150.0	51470078.0	93.78	149.36	18462330.0	14532064.0	18264419.0	122028.0	6189.0	69694.0	0.45	0.02	1.77	0.02	1.63	2386260.0	4.35	55239.0	0.1	0.0	1.71	0.06	0	936848	32872
Nobt3DPA3	57518915.0	149.0	54384061.0	94.55	149.24	22510474.0	18265387.0	22284633.0	169167.0	7424.0	49250.0	0.44	0.02	1.76	0.01	1.72	2226187.0	3.87	48045.0	0.08	0.0	1.48	0.01	0	854846	5776
Nobt6DPA1	70766049.0	150.0	67079819.0	94.79	149.44	27776828.0	22551769.0	27502118.0	194256.0	8786.0	71668.0	0.44	0.02	1.73	0.01	1.65	2661798.0	3.76	68248.0	0.1	0.0	1.34	0.02	0	942122	14062
Nobt6DPA2	53770868.0	150.0	50971736.0	94.79	149.5	21018871.0	17093371.0	20810831.0	154090.0	6947.0	47003.0	0.46	0.02	1.75	0.01	1.69	2041865.0	3.8	38376.0	0.07	0.0	1.33	0.01	0	713526	5365
Nobt6DPA3	53653747.0	150.0	50777090.0	94.64	149.42	21034287.0	17098586.0	20822975.0	156463.0	6916.0	47933.0	0.45	0.02	1.74	0.01	1.69	2126142.0	3.96	41242.0	0.08	0.0	1.3	0.02	0	698526	10747
NobtPre1	50496173.0	150.0	43912690.0	86.96	149.21	18186056.0	14102036.0	18000784.0	137905.0	6254.0	41113.0	0.46	0.02	1.81	0.01	1.61	5462690.0	10.82	156495.0	0.31	0.0	1.9	0.01	0	959249	5049
NobtPre2	57689379.0	150.0	52985513.0	91.85	149.4	22558650.0	17578268.0	22332626.0	170097.0	7471.0	48456.0	0.49	0.02	1.79	0.01	1.6	3653978.0	6.33	31094.0	0.05	0.0	1.75	0.02	0	1007282	11512
NobtPre3	57854457.0	150.0	53032676.0	91.67	149.44	21930241.0	17001099.0	21705821.0	166178.0	7509.0	50733.0	0.47	0.02	1.82	0.01	1.63	3702596.0	6.4	31587.0	0.05	0.0	1.81	0.07	0	1047102	40496
Nobtbr1	17490045.0	75.0	16161964.0	92.41	75.01	3488380.0	2971728.0	3451238.0	28605.0	860.0	7677.0	0.52	0.02	1.71	0.01	1.6	909903.0	5.2	44448.0	0.25	0.0	2.01	0.13	0	351027	22703
Nobtbr1.1	9828444.0	75.0	9081580.0	92.4	75.07	1979037.0	1685872.0	1957858.0	16201.0	476.0	4502.0	0.45	0.02	1.7	0.01	1.6	514030.0	5.23	25053.0	0.25	0.0	1.94	0.17	0	191040	16741
