Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Pyrophosphate-dependent phosphofructokinase PfpB (IPR011183)	21.1	7e-02	3	4	AT1G12000.1, AT1G20950.1, AT1G76550.1
Beta tubulin (IPR002453)	16.8	4e-04	6	10	AT1G75780.1, AT2G29550.1, AT5G12250.1, AT5G44340.1, AT5G62690.1, AT5G62700.1
Methyladenine glycosylase (IPR005019)	15.6	5e-03	5	9	AT1G15970.1, AT1G75090.1, AT1G80850.1, AT3G12710.1, AT5G44680.1
Tubulin (IPR000217)	14.8	3e-07	10	19	AT1G04820.1, AT1G50010.1, AT1G75780.1, AT2G29550.1, AT4G14960.2, AT5G05620.1, AT5G12250.1, AT5G44340.1, AT5G62690.1, AT5G62700.1
Tubulin/FtsZ, 2-layer sandwich domain (IPR018316)	14.8	3e-07	10	19	AT1G04820.1, AT1G50010.1, AT1G75780.1, AT2G29550.1, AT4G14960.2, AT5G05620.1, AT5G12250.1, AT5G44340.1, AT5G62690.1, AT5G62700.1
Tubulin/FtsZ, GTPase domain (IPR003008)	14	2e-08	12	24	AT1G04820.1, AT1G50010.1, AT1G75780.1, AT2G29550.1, AT3G52750.1, AT4G14960.2, AT5G05620.1, AT5G12250.1, AT5G44340.1, AT5G55280.1, AT5G62690.1, AT5G62700.1
Kinesin motor domain (IPR001752)	7.6	3e-10	22	81	AT1G18370.1, AT1G18550.1, AT1G20060.1, AT2G28620.1, AT2G47500.1, AT3G10310.1, AT3G16060.1, AT3G17360.1, AT3G19050.1, AT3G20150.1, AT3G23670.1, AT3G49650.1, AT3G50240.1, AT4G05190.1, AT4G21270.1, AT4G27180.1, AT5G06670.1, AT5G23910.1, AT5G27000.1, AT5G27550.1, AT5G60930.1, AT5G66310.1
Glycoside hydrolase family 9 (IPR001701)	7.3	2e-02	7	27	AT1G19940.1, AT1G64390.1, AT1G70710.1, AT1G71380.1, AT1G75680.1, AT4G02290.1, AT4G24260.1
Chlorophyll A-B binding protein (IPR022796)	6.6	1e-02	8	34	AT1G15820.1, AT1G29910.1, AT1G29920.1, AT1G29930.1, AT1G44575.2, AT3G27690.1, AT4G10340.1, AT5G54270.1
Plant lipid transfer protein/Par allergen (IPR000528)	6.1	5e-02	7	32	AT2G13820.1, AT2G38540.1, AT5G01870.1, AT5G09370.1, AT5G09370.2, AT5G59310.1, AT5G59320.1
GDP-fucose protein O-fucosyltransferase (IPR019378)	5.5	2e-02	9	46	AT1G38065.1, AT1G38131.1, AT1G51630.1, AT1G62330.1, AT3G21190.1, AT3G26370.1, AT3G30300.1, AT4G08810.1, AT5G50420.1
Histone H2A/H2B/H3 (IPR007125)	4.9	7e-02	8	46	AT1G09200.1, AT3G20670.1, AT3G54560.1, AT5G10390.1, AT5G10400.1, AT5G22880.1, AT5G59870.1, AT5G65360.1
Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain (IPR016140)	3.3	9e-02	12	101	AT1G32280.1, AT1G43665.1, AT2G13820.1, AT2G27130.1, AT2G38540.1, AT5G01870.1, AT5G05960.1, AT5G09370.1, AT5G09370.2, AT5G48490.1, AT5G59310.1, AT5G59320.1
Leucine-rich repeat-containing N-terminal, plant-type (IPR013210)	2.8	5e-03	24	242	AT1G10850.1, AT1G12460.1, AT1G71830.1, AT2G01950.1, AT2G26730.1, AT2G36570.1, AT2G45340.1, AT3G12610.1, AT3G24660.1, AT3G49670.1, AT3G51740.1, AT3G56370.1, AT3G57830.1, AT4G20940.1, AT4G23740.1, AT4G36180.1, AT5G01890.1, AT5G06940.1, AT5G16000.1, AT5G23400.1, AT5G41180.1, AT5G51350.1, AT5G62710.1, AT5G67280.1
