Orthogroup,Arabidopsis,Cucumis,Nicotiana,Solanum
OG0008097,AT1G75100.1,MELO3C003878T1,NIOBTv3_g15838.t1,Solyc04g080040.3.1
OG0008100,AT1G80350.1,MELO3C023374T1,NIOBTv3_g23119.t1,Solyc06g066810.3.1
OG0008104,AT1G80360.1,MELO3C023373T1,NIOBTv3_g38724.t1,Solyc03g120450.4.1
OG0008105,AT1G74720.1,MELO3C002206T1,NIOBTv3_g13202.t1,Solyc03g113190.1.1
OG0008106,AT1G44000.1,MELO3C008435T1,NIOBTv3_g01804.t1,Solyc04g063240.3.1
OG0008109,AT1G65560.1,MELO3C008767T1,NIOBTv3_g31470.t1,Solyc05g055700.3.1
OG0008112,AT1G70820.1,MELO3C026420T1,NIOBTv3_g15800.t1,Solyc05g026490.3.1
OG0008115,AT1G75210.1,MELO3C010944T1,NIOBTv3_g41149.t1,Solyc04g080430.3.1
OG0008116,AT1G79220.1,MELO3C007519T1,NIOBTv3_g37620.t1,Solyc02g067960.3.1
OG0008117,AT1G65590.1,MELO3C008768T1,NIOBTv3_g27115.t1,Solyc11g008810.2.1
OG0008120,AT1G80380.2,MELO3C023371T1,NIOBTv3_g38722.t1,Solyc03g120430.3.1
OG0008122,AT1G65520.1,MELO3C025448T1,NIOBTv3_g38556.t1,Solyc01g091520.3.1
OG0008125,AT1G77360.1,MELO3C010658T1,NIOBTv3_g10917.t1,Solyc11g070040.3.1
OG0008126,AT1G65540.1,MELO3C008762T1,NIOBTv3_g07794.t1,Solyc11g008770.2.1
OG0008129,AT1G15980.1,MELO3C023468T1,NIOBTv3_g19264.t1,Solyc03g116870.3.1
OG0008130,AT1G79600.1,MELO3C015233T1,NIOBTv3_g32867.t1,Solyc04g083010.4.1
OG0008133,AT1G77405.1,MELO3C025482T1,NIOBTv3_g12702.t1,Solyc08g029150.3.1
OG0008137,AT1G42440.1,MELO3C022402T1,NIOBTv3_g08062.t1,Solyc04g082330.3.1
OG0008138,AT1G43860.1,MELO3C010584T1,NIOBTv3_g09382.t1,Solyc04g064570.3.1
OG0008141,AT1G20990.1,MELO3C017071T1,NIOBTv3_g35276.t1,Solyc04g082940.3.1
OG0008144,AT1G31800.1,MELO3C014945T1,NIOBTv3_g04491.t1,Solyc04g051190.3.1
OG0008145,AT1G74900.1,MELO3C002235T1,NIOBTv3_g30941.t1,Solyc03g113750.3.1
OG0008148,AT1G54500.1,MELO3C004358T1,NIOBTv3_g30950.t1,Solyc01g097910.2.1
OG0008149,AT1G31780.1,MELO3C010519T1,NIOBTv3_g15084.t1,Solyc08g075440.4.1
OG0008150,AT1G51110.1,MELO3C014648T1,NIOBTv3_g33113.t1,Solyc01g006330.4.1
OG0008151,AT1G51100.1,MELO3C016627T1,NIOBTv3_g20852.t1,Solyc07g064100.1.1
OG0008152,AT1G31812.1,MELO3C013788T1,NIOBTv3_g25371.t1,Solyc08g075690.3.1
OG0008155,AT1G54490.1,MELO3C004356T1,NIOBTv3_g08771.t1,Solyc04g049010.3.1
OG0008158,AT1G20970.1,MELO3C017068T1,NIOBTv3_g32251.t1,Solyc05g008780.4.1
OG0008163,AT1G75010.1,MELO3C005216T1,NIOBTv3_g43761.t1,Solyc01g007880.4.1
OG0008165,AT1G10790.1,MELO3C019480T1,NIOBTv3_g02265.t1,Solyc01g104240.3.1
OG0008167,AT1G21065.1,MELO3C017079T1,NIOBTv3_g02289.t1,Solyc12g095770.2.1
OG0008168,AT1G65650.1,MELO3C022230T1,NIOBTv3_g01622.t1,Solyc09g018730.4.1
OG0008169,AT1G74970.1,MELO3C003890T1,NIOBTv3_g40026.t1,Solyc04g079790.3.1
OG0008176,AT1G09700.1,MELO3C011081T1,NIOBTv3_g05230.t1,Solyc04g076420.4.1
OG0008177,AT1G10830.1,MELO3C017709T1,NIOBTv3_g22232.t1,Solyc12g098710.2.1
OG0008179,AT1G14560.1,MELO3C010746T1,NIOBTv3_g16567.t1,Solyc08g062860.3.1
OG0008181,AT1G49430.1,MELO3C021941T1,NIOBTv3_g28471.t1,Solyc01g109180.4.1
OG0008185,AT1G70530.1,MELO3C011978T1,NIOBTv3_g20520.t1,Solyc05g005060.3.1
OG0008188,AT1G76080.1,MELO3C011340T1,NIOBTv3_g05791.t1,Solyc04g081970.3.1
OG0008190,AT1G13250.1,MELO3C012216T1,NIOBTv3_g58608.t1,Solyc05g009820.4.1
OG0008192,AT1G76110.1,MELO3C016999T1,NIOBTv3_g18709.t1,Solyc12g094440.2.1
OG0008197,AT1G69070.1,MELO3C011408T1,NIOBTv3_g23278.t1,Solyc05g011990.4.1
OG0008201,AT1G76130.1,MELO3C017002T1,NIOBTv3_g05801.t1,Solyc04g082090.3.1
OG0008206,AT1G07590.1,MELO3C025913T1,NIOBTv3_g08212.t1,Solyc06g071900.3.1
OG0008210,AT1G47840.1,MELO3C003755T1,NIOBTv3_g06647.t1,Solyc04g081400.3.1
OG0008211,AT1G13310.1,MELO3C012220T1,NIOBTv3_g22100.t1,Solyc04g007015.1.1
OG0008213,AT1G19640.1,MELO3C003803T1,NIOBTv3_g12854.t1,Solyc04g080660.4.1
OG0008216,AT1G73140.1,MELO3C016099T1,NIOBTv3_g56734.t1,Solyc12g014200.3.1
OG0008226,AT1G17210.1,MELO3C002767T1,NIOBTv3_g22439.t1,Solyc07g056030.3.1
OG0008227,AT1G63660.1,MELO3C005680T1,NIOBTv3_g39238.t1,Solyc08g081150.4.1
OG0008229,AT1G63670.1,MELO3C005681T1,NIOBTv3_g39239.t1,Solyc08g081160.3.1
OG0008234,AT1G49380.1,MELO3C018406T1,NIOBTv3_g33574.t1,Solyc10g051200.2.1
OG0008238,AT1G62780.1,MELO3C005568T1,NIOBTv3_g39704.t1,Solyc08g079240.4.1
OG0008241,AT1G68830.1,MELO3C002949T1,NIOBTv3_g19300.t1,Solyc12g021280.2.1
OG0008242,AT1G44350.1,MELO3C010623T1,NIOBTv3_g40897.t1,Solyc10g079640.2.1
OG0008243,AT1G44414.1,MELO3C010615T1,NIOBTv3_g30612.t1,Solyc06g060300.1.1
OG0008247,AT1G65470.1,MELO3C008612T1,NIOBTv3_g40175.t1,Solyc11g008670.2.1
OG0008250,AT1G12790.1,MELO3C008090T1,NIOBTv3_g28077.t1,Solyc06g064560.4.1
