AT5G23090.4	PF00808
AT4G21230.1	PF01657
AT4G21230.1	PF01657
AT4G21230.1	PF07714
AT3G26880.1	PF05938
AT5G44170.1	PF10294
AT3G58290.3	PF00917
AT2G06005.2	PF14802
AT4G15075.1	PF08387
AT3G46130.4	PF00249
AT2G17780.2	PF04749
AT5G56130.1	PF00400
AT5G56130.1	PF00400
AT5G56130.1	PF00400
AT1G04300.2	PF00917
AT3G11780.2	PF02221
AT1G04020.1	PF16589
AT1G04020.1	PF13923
AT1G04020.1	PF13771
AT1G04020.1	PF00533
AT4G08850.2	PF00069
AT4G08850.2	PF00560
AT4G08850.2	PF08263
AT4G08850.2	PF13855
AT4G08850.2	PF13855
AT3G51110.1	PF02184
AT1G47570.1	PF17979
AT1G47570.1	PF00097
AT1G27540.2	PF03478
AT2G18450.1	PF00890
AT2G18450.1	PF02910
AT4G27450.1	PF12481
AT1G17410.1	PF00334
AT5G44740.1	PF00817
AT5G44740.1	PF11799
AT2G26670.1	PF01126
AT5G23980.1	PF01794
AT5G23980.1	PF08030
AT5G23980.1	PF08022
AT4G01280.1	PF00249
AT1G18610.1	PF13418
AT1G18610.1	PF13418
AT1G18610.1	PF13418
AT1G18610.1	PF13418
AT1G18610.1	PF01344
AT5G23420.1	PF00505
AT4G32500.1	PF00027
AT4G32500.1	PF12796
AT4G32500.1	PF12796
AT4G32500.1	PF00520
AT4G32500.1	PF11834
AT1G30540.1	PF01869
AT1G12370.2	PF00875
AT2G05720.1	PF00400
AT2G05720.1	PF00400
AT1G52150.1	PF08670
AT1G52150.1	PF00046
AT1G52150.1	PF01852
AT5G24620.2	PF00314
AT1G70070.1	PF08148
AT1G70070.1	PF00270
AT2G46060.2	PF12036
AT2G03670.1	PF17862
AT2G03670.1	PF17862
AT2G03670.1	PF00004
AT2G03670.1	PF00004
AT2G21130.1	PF00160
AT3G52330.1	PF08268
AT4G22485.1	PF14547
AT5G52410.2	PF00395
AT5G66400.2	PF00257
AT3G12203.1	PF00450
AT1G70870.1	PF00407
AT1G54360.3	PF07571
AT1G54360.3	PF02969
AT5G13550.1	PF00916
AT5G13550.1	PF01740
AT5G01650.1	PF01187
AT3G21100.1	PF00076
AT3G07740.1	PF00569
AT3G07740.1	PF00249
AT1G60730.3	PF00248
AT1G45150.1	PF13320
AT1G44000.1	PF12638
AT2G42220.1	PF00581
AT2G27510.1	PF00111
AT5G07820.1	PF07839
AT5G65670.1	PF02309
AT3G46130.1	PF00249
AT3G46130.1	PF00249
AT3G48950.1	PF00295
AT5G01120.1	PF05056
AT4G20200.1	PF03936
AT4G20200.1	PF01397
AT1G50240.2	PF00069
AT1G77480.1	PF14541
AT1G77480.1	PF14543
AT5G59220.1	PF00481
AT2G18510.1	PF00076
AT2G18510.1	PF00076
AT2G36720.1	PF00628
AT2G36720.1	PF16135
AT3G44810.1	PF00646
AT3G22450.1	PF00861
AT3G59170.1	PF00646
AT3G59170.1	PF07723
AT1G24200.1	PF02671
AT1G24200.1	PF02671
AT5G03905.1	PF01521
AT4G21960.1	PF00141
AT5G05030.1	PF14365
AT5G05030.1	PF03080
AT1G10670.1	PF08442
AT1G10670.1	PF16114
AT1G10670.2	PF08442
AT1G10670.2	PF16114
AT1G10670.4	PF08442
AT1G10670.4	PF16114
AT4G21280.1	PF05757
AT5G38700.1	PF05553
AT5G08780.1	PF00538
AT1G50200.1	PF01411
AT1G50200.1	PF07973
AT1G50200.1	PF02272
AT5G09280.1	PF00544
AT5G59890.1	PF00241
AT1G02880.2	PF04265
AT1G02880.2	PF04263
AT4G13965.1	PF08387
AT4G13965.1	PF07723
AT1G48850.3	PF01264
AT5G61880.1	PF03656
AT5G61880.2	PF03656
AT4G33080.1	PF00069
AT4G33080.1	PF00069
AT5G01850.1	PF07714
AT5G25090.1	PF02298
AT3G49970.1	PF00651
AT3G49970.1	PF03000
AT2G19920.1	PF05183
AT3G43180.1	PF00097
AT3G29250.2	PF13561
AT2G22750.1	PF00010
AT3G04630.1	PF06886
AT5G38240.1	PF13947
AT5G38240.1	PF00069
AT1G26770.1	PF01357
AT1G26770.1	PF03330
AT2G30800.1	PF04408
AT2G30800.1	PF07717
AT2G30800.1	PF00270
AT2G30800.1	PF00271
AT2G30800.1	PF01424
AT4G35350.2	PF08246
AT4G35350.2	PF00112
AT2G46620.1	PF14363
AT2G46620.1	PF00004
AT1G60380.1	PF02365
AT1G60380.1	PF02365
