Slyc Hit,Nobt Hit
Solyc01g005130.2,NIOBTv3_g12907
Solyc01g008510.3,NIOBTv3_g32417
Solyc01g008790.3,NIOBTv3_g17106
Solyc01g058540.3,NIOBTv3_g13674
Solyc01g067510.3,NIOBTv3_g22767
Solyc01g073710.2,NIOBTv3_g42242
Solyc01g079780.3,NIOBTv3_g08393
Solyc01g080010.2,NIOBTv3_g23271
Solyc01g080460.3,NIOBTv3_g29964
Solyc01g080680.3,NIOBTv3_g27851
Solyc01g080870.3,NIOBTv3_g21050
Solyc01g081270.2,NIOBTv3_g36810
Solyc01g081480.3,NIOBTv3_g06859
Solyc01g087850.2,NIOBTv3_g04613
Solyc01g090790.3,NIOBTv3_g14441
Solyc01g091690.3,NIOBTv3_g37254
Solyc01g095170.2,NIOBTv3_g18714
Solyc01g097470.3,NIOBTv3_g31150
Solyc01g098570.2,NIOBTv3_g29473
Solyc01g098645.1,NIOBTv3_g29478
Solyc01g099385.1,NIOBTv3_g32541
Solyc01g099590.3,NIOBTv3_g39947
Solyc01g106460.3,NIOBTv3_g29043
Solyc01g106470.3,NIOBTv3_g29044
Solyc01g108490.3,NIOBTv3_g18927
Solyc01g108860.3,NIOBTv3_g06126
Solyc01g109170.3,NIOBTv3_g28470
Solyc01g109390.3,NIOBTv3_g36580
Solyc01g109500.3,NIOBTv3_g31074
Solyc01g109590.3,NIOBTv3_g25362
Solyc01g111230.3,NIOBTv3_g23834
Solyc01g111570.3,NIOBTv3_g07760
Solyc01g111630.3,NIOBTv3_g31393
Solyc01g112060.3,NIOBTv3_g23417
Solyc01g112260.3,NIOBTv3_g06005
Solyc02g014150.3,NIOBTv3_g11603
Solyc02g062340.3,NIOBTv3_g22365-D2
Solyc02g064970.3,NIOBTv3_g28759
Solyc02g065060.3,NIOBTv3_g04011
Solyc02g065470.1,NIOBTv3_g60952
Solyc02g065530.3,NIOBTv3_g26105
Solyc02g067350.3,NIOBTv3_g14986
Solyc02g069290.3,NIOBTv3_g38574
Solyc02g069930.1,NIOBTv3_g05565
Solyc02g070070.1,NIOBTv3_g28689
Solyc02g071110.3,NIOBTv3_g17299-D4
Solyc02g076670.3,NIOBTv3_g10597
Solyc02g077590.1,NIOBTv3_g23132
Solyc02g077720.3,NIOBTv3_g21225
Solyc02g078380.3,NIOBTv3_g11928
Solyc02g078670.3,NIOBTv3_g27275
Solyc02g079790.3,NIOBTv3_g16679
Solyc02g079950.3,NIOBTv3_g38836
Solyc02g080480.3,NIOBTv3_g09978
Solyc02g080540.1,NIOBTv3_g09914
Solyc02g080810.3,NIOBTv3_g01559
Solyc02g081070.3,NIOBTv3_g05270
Solyc02g081890.3,NIOBTv3_g29328
Solyc02g083280.3,NIOBTv3_g38530
Solyc02g083400.3,NIOBTv3_g36894
Solyc02g083810.3,NIOBTv3_g22408
Solyc02g083930.1,NIOBTv3_g17592
Solyc02g084740.3,NIOBTv3_g23389
Solyc02g085180.4,NIOBTv3_g13461
Solyc02g085745.1,NIOBTv3_g27171
Solyc02g086300.3,NIOBTv3_g26439
Solyc02g086460.3,NIOBTv3_g30115
Solyc02g088100.3,NIOBTv3_g26925
Solyc02g089065.1,NIOBTv3_g13228
Solyc02g089150.3,NIOBTv3_g41093
Solyc02g089630.3,NIOBTv3_g40355
Solyc02g089680.3,NIOBTv3_g16870
Solyc02g089930.3,NIOBTv3_g10573
Solyc02g090840.3,NIOBTv3_g29199
Solyc02g091700.3,NIOBTv3_g37954
Solyc02g091890.2,NIOBTv3_g03618
Solyc02g091920.3,NIOBTv3_g24797
Solyc02g092470.3,NIOBTv3_g03743
Solyc02g092530.3,NIOBTv3_g24449
Solyc02g092700.3,NIOBTv3_g00343
Solyc03g007860.1,NIOBTv3_g57685
Solyc03g019790.3,NIOBTv3_g17172
Solyc03g025760.3,NIOBTv3_g25827
Solyc03g026210.3,NIOBTv3_g37935
Solyc03g031800.3,NIOBTv3_g04122
Solyc03g034375.1,NIOBTv3_g14756-D2
Solyc03g045070.1,NIOBTv3_g24037
Solyc03g051790.3,NIOBTv3_g38347
Solyc03g053110.3,NIOBTv3_g08079
Solyc03g080110.3,NIOBTv3_g31615
Solyc03g082420.3,NIOBTv3_g00737
Solyc03g082620.3,NIOBTv3_g13334
Solyc03g083100.3,NIOBTv3_g02118
Solyc03g083360.3,NIOBTv3_g03834
Solyc03g093360.3,NIOBTv3_g14188
Solyc03g094010.3,NIOBTv3_g28844
Solyc03g096850.3,NIOBTv3_g24779
Solyc03g098030.3,NIOBTv3_g12847
Solyc03g112390.3,NIOBTv3_g31933
Solyc03g112760.3,NIOBTv3_g29547
Solyc03g114030.3,NIOBTv3_g08808
Solyc03g114730.3,NIOBTv3_g65173
Solyc03g114750.3,NIOBTv3_g16066
Solyc03g115020.3,NIOBTv3_g14460
Solyc03g115900.3,NIOBTv3_g33198
Solyc03g116870.3,NIOBTv3_g19264
Solyc03g118850.3,NIOBTv3_g23703
Solyc03g120290.3,NIOBTv3_g14919
Solyc03g120320.1,NIOBTv3_g14915
Solyc03g123550.1,NIOBTv3_g06520
Solyc03g123720.3,NIOBTv3_g02757
