Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
MCM N-terminal domain (IPR027925)	5.5	7e-03	6	6	NIOBTv3_g00695.t1,NIOBTv3_g11994.t1,NIOBTv3_g15623.t1,NIOBTv3_g18474.t1,NIOBTv3_g25314.t1,NIOBTv3_g33173.t1
MCM domain (IPR001208)	5.5	5e-04	8	8	NIOBTv3_g00696.t1,NIOBTv3_g07186.t1,NIOBTv3_g11994.t1,NIOBTv3_g15623.t1,NIOBTv3_g18474.t1,NIOBTv3_g25314.t1,NIOBTv3_g33173.t1,NIOBTv3_g50817.t1
Protein arginine N-methyltransferase (IPR025799)	5.5	5e-04	8	8	NIOBTv3_g01579.t1,NIOBTv3_g03162.t1,NIOBTv3_g08438.t1,NIOBTv3_g08872.t1,NIOBTv3_g09408.t1,NIOBTv3_g20781.t1,NIOBTv3_g27990.t1,NIOBTv3_g34118.t1
MCM OB domain (IPR033762)	5.5	2e-03	7	7	NIOBTv3_g00695.t1,NIOBTv3_g07186.t1,NIOBTv3_g11994.t1,NIOBTv3_g15623.t1,NIOBTv3_g18474.t1,NIOBTv3_g25314.t1,NIOBTv3_g33173.t1
MCM, AAA-lid domain (IPR041562)	5.5	2e-03	7	7	NIOBTv3_g00696.t1,NIOBTv3_g07186.t1,NIOBTv3_g11994.t1,NIOBTv3_g15623.t1,NIOBTv3_g18474.t1,NIOBTv3_g25314.t1,NIOBTv3_g33173.t1
DNA mismatch repair protein MutS-like, N-terminal (IPR007695)	5.5	2e-02	5	5	NIOBTv3_g09960.t1,NIOBTv3_g13390.t1,NIOBTv3_g18638.t1,NIOBTv3_g35832.t1,NIOBTv3_g38891.t1
DNA mismatch repair protein MutS, core (IPR007696)	5.5	2e-02	5	5	NIOBTv3_g09960.t1,NIOBTv3_g13390.t1,NIOBTv3_g18638.t1,NIOBTv3_g26534.t1,NIOBTv3_g38891.t1
Histone-binding protein RBBP4, N-terminal (IPR022052)	5.5	2e-02	5	5	NIOBTv3_g03413.t1,NIOBTv3_g04056.t1,NIOBTv3_g04074.t1,NIOBTv3_g07762.t1,NIOBTv3_g26721.t1
HRDC domain (IPR002121)	5.5	9e-02	4	4	NIOBTv3_g09660.t1,NIOBTv3_g14346.t1,NIOBTv3_g24860.t1,NIOBTv3_g26245.t1
TOPRIM  domain (IPR006171)	5.5	9e-02	4	4	NIOBTv3_g12016.t1,NIOBTv3_g21426.t1,NIOBTv3_g29892.t1,NIOBTv3_g37235.t1
RNA-dependent RNA polymerase, eukaryotic-type (IPR007855)	5.5	9e-02	4	4	NIOBTv3_g04129.t1,NIOBTv3_g18155.t1,NIOBTv3_g26566.t1,NIOBTv3_g40494.t1
DNA mismatch repair protein MutS, connector domain (IPR007860)	5.5	9e-02	4	4	NIOBTv3_g09960.t1,NIOBTv3_g13390.t1,NIOBTv3_g18638.t1,NIOBTv3_g38891.t1
DNA mismatch repair protein MutS, clamp (IPR007861)	5.5	9e-02	4	4	NIOBTv3_g09960.t1,NIOBTv3_g18638.t1,NIOBTv3_g26534.t1,NIOBTv3_g38891.t1
SAWADEE domain (IPR032001)	5.5	9e-02	4	4	NIOBTv3_g29077.t1,NIOBTv3_g33156.t1,NIOBTv3_g33767.t1,NIOBTv3_g36313.t1
XS domain (IPR005380)	4.9	2e-03	8	9	NIOBTv3_g11410.t1,NIOBTv3_g11776.t1,NIOBTv3_g25572.t1,NIOBTv3_g29235.t1,NIOBTv3_g30757.t1,NIOBTv3_g32884.t1,NIOBTv3_g35158.t1,NIOBTv3_g38086.t1
C-5 cytosine methyltransferase (IPR001525)	4.8	7e-03	7	8	NIOBTv3_g00087.t1,NIOBTv3_g08667.t1,NIOBTv3_g11507.t1,NIOBTv3_g14342.t1,NIOBTv3_g14406.t1,NIOBTv3_g19701.t1,NIOBTv3_g38478.t1
DNA mismatch repair protein MutS, C-terminal (IPR000432)	4.7	2e-02	6	7	NIOBTv3_g09960.t1,NIOBTv3_g13390.t1,NIOBTv3_g18638.t1,NIOBTv3_g26534.t1,NIOBTv3_g35832.t1,NIOBTv3_g38891.t1
Ornithine/DAP/Arg decarboxylase (IPR000183)	4.6	9e-02	5	6	NIOBTv3_g04912.t1,NIOBTv3_g05809.t1,NIOBTv3_g05934.t1,NIOBTv3_g30135.t1,NIOBTv3_g36667.t1
DNA helicase, ATP-dependent, RecQ type (IPR004589)	4.6	9e-02	5	6	NIOBTv3_g09660.t1,NIOBTv3_g16729.t1,NIOBTv3_g24860.t1,NIOBTv3_g28608.t1,NIOBTv3_g36920.t1
YABBY protein (IPR006780)	4.6	9e-02	5	6	NIOBTv3_g03604.t1,NIOBTv3_g06576.t1,NIOBTv3_g14164.t1,NIOBTv3_g28706.t1,NIOBTv3_g40848.t1
Orn/DAP/Arg decarboxylase 2, N-terminal (IPR022644)	4.6	9e-02	5	6	NIOBTv3_g04912.t1,NIOBTv3_g05809.t1,NIOBTv3_g05934.t1,NIOBTv3_g30135.t1,NIOBTv3_g36667.t1
Frigida-like (IPR012474)	4.5	2e-03	9	11	NIOBTv3_g01424.t1,NIOBTv3_g03675.t1,NIOBTv3_g07004.t1,NIOBTv3_g11408.t1,NIOBTv3_g15489.t1,NIOBTv3_g29922.t1,NIOBTv3_g31901.t1,NIOBTv3_g32145.t1,NIOBTv3_g36636.t1
Piwi domain (IPR003165)	4.4	7e-03	8	10	NIOBTv3_g04981.t1,NIOBTv3_g05033.t1,NIOBTv3_g16641.t1,NIOBTv3_g20630.t1,NIOBTv3_g25642.t1,NIOBTv3_g36420.t1,NIOBTv3_g38573.t1,NIOBTv3_g39268.t1
Argonaute, linker 1 domain (IPR014811)	4.4	7e-03	8	10	NIOBTv3_g04981.t1,NIOBTv3_g05033.t1,NIOBTv3_g16641.t1,NIOBTv3_g20630.t1,NIOBTv3_g25642.t1,NIOBTv3_g36420.t1,NIOBTv3_g38573.t1,NIOBTv3_g39268.t1
Protein argonaute, N-terminal (IPR032474)	4.4	7e-03	8	10	NIOBTv3_g04981.t1,NIOBTv3_g05033.t1,NIOBTv3_g16641.t1,NIOBTv3_g20630.t1,NIOBTv3_g25642.t1,NIOBTv3_g36420.t1,NIOBTv3_g38573.t1,NIOBTv3_g39268.t1
Argonaute linker 2 domain (IPR032472)	4.3	2e-02	7	9	NIOBTv3_g04981.t1,NIOBTv3_g05033.t1,NIOBTv3_g20630.t1,NIOBTv3_g25642.t1,NIOBTv3_g36420.t1,NIOBTv3_g38573.t1,NIOBTv3_g39268.t1
PAZ domain (IPR003100)	4.1	6e-03	9	12	NIOBTv3_g04981.t1,NIOBTv3_g05033.t1,NIOBTv3_g16641.t1,NIOBTv3_g20630.t1,NIOBTv3_g25642.t1,NIOBTv3_g36420.t1,NIOBTv3_g38573.t1,NIOBTv3_g39268.t1,NIOBTv3_g41176.t1
Zinc finger-XS domain (IPR005381)	4.1	7e-02	6	8	NIOBTv3_g11776.t1,NIOBTv3_g25572.t1,NIOBTv3_g30757.t1,NIOBTv3_g32884.t1,NIOBTv3_g35158.t1,NIOBTv3_g38086.t1
Chaperone tailless complex polypeptide 1 (TCP-1) (IPR017998)	3.8	5e-02	7	10	NIOBTv3_g08454.t1,NIOBTv3_g10828.t1,NIOBTv3_g24367.t1,NIOBTv3_g26624.t1,NIOBTv3_g29078.t1,NIOBTv3_g31250.t1,NIOBTv3_g34657.t1
Cyclin, C-terminal domain (IPR004367)	3.6	2e-06	21	32	NIOBTv3_g01833.t1,NIOBTv3_g04424.t1,NIOBTv3_g05136.t1,NIOBTv3_g05961.t1,NIOBTv3_g12698.t1,NIOBTv3_g13293.t1,NIOBTv3_g14827.t1,NIOBTv3_g20167.t1,NIOBTv3_g21774.t1,NIOBTv3_g22020.t1,NIOBTv3_g24843.t1,NIOBTv3_g27862.t1,NIOBTv3_g27905.t1,NIOBTv3_g31760.t1,NIOBTv3_g32485.t1,NIOBTv3_g33884.t1,NIOBTv3_g33949.t1,NIOBTv3_g35618.t1,NIOBTv3_g35953.t1,NIOBTv3_g38723.t1,NIOBTv3_g40931.t1
DYW domain (IPR032867)	3.5	1e-17	56	88	NIOBTv3_g00412.t1,NIOBTv3_g00959.t1,NIOBTv3_g01472.t1,NIOBTv3_g02038.t1,NIOBTv3_g03479.t1,NIOBTv3_g03895.t1,NIOBTv3_g04195.t1,NIOBTv3_g04536.t1,NIOBTv3_g06832.t1,NIOBTv3_g08183.t1,NIOBTv3_g08406.t1,NIOBTv3_g09770.t1,NIOBTv3_g09833.t1,NIOBTv3_g11223.t1,NIOBTv3_g11419.t1,NIOBTv3_g12194.t1,NIOBTv3_g12404.t1,NIOBTv3_g13181.t1,NIOBTv3_g13591.t1,NIOBTv3_g13653.t1,NIOBTv3_g13707.t1,NIOBTv3_g14117.t1,NIOBTv3_g14809.t1,NIOBTv3_g16140.t1,NIOBTv3_g17943.t1,NIOBTv3_g19267.t1,NIOBTv3_g19417.t1,NIOBTv3_g20076.t1,NIOBTv3_g20881.t1,NIOBTv3_g21404.t1,NIOBTv3_g22853.t1,NIOBTv3_g23322.t1,NIOBTv3_g23540.t1,NIOBTv3_g24501.t1,NIOBTv3_g24635.t1,NIOBTv3_g25802.t1,NIOBTv3_g26168.t1,NIOBTv3_g26264.t1,NIOBTv3_g26392.t1,NIOBTv3_g26665.t1,NIOBTv3_g29858.t1,NIOBTv3_g29983.t1,NIOBTv3_g30932.t1,NIOBTv3_g31419.t1,NIOBTv3_g31465.t1,NIOBTv3_g31682.t1,NIOBTv3_g31858.t1,NIOBTv3_g32184.t1,NIOBTv3_g32502.t1,NIOBTv3_g32855.t1,NIOBTv3_g34921.t1,NIOBTv3_g35709.t1,NIOBTv3_g36809.t1,NIOBTv3_g38361.t1,NIOBTv3_g41434.t1,NIOBTv3_g57768.t1
Pentacotripeptide-repeat region of PRORP (IPR033443)	3.5	1e-03	14	22	NIOBTv3_g01319.t1,NIOBTv3_g03479.t1,NIOBTv3_g05848.t1,NIOBTv3_g07160.t1,NIOBTv3_g07368.t1,NIOBTv3_g07649.t1,NIOBTv3_g08196.t1,NIOBTv3_g13329.t1,NIOBTv3_g14690.t1,NIOBTv3_g17786.t1,NIOBTv3_g20853.t1,NIOBTv3_g25428.t1,NIOBTv3_g26026.t1,NIOBTv3_g33911.t1
Pre-SET domain (IPR007728)	3.5	9e-02	7	11	NIOBTv3_g26045.t1,NIOBTv3_g26366.t1,NIOBTv3_g30559.t1,NIOBTv3_g35312.t1,NIOBTv3_g35629.t1,NIOBTv3_g38149.t1,NIOBTv3_g40399.t1
Pyruvate kinase, barrel (IPR015793)	3.5	9e-02	7	11	NIOBTv3_g02970.t1,NIOBTv3_g06365.t1,NIOBTv3_g13877.t1,NIOBTv3_g19411.t1,NIOBTv3_g37385.t1,NIOBTv3_g38742.t1,NIOBTv3_g59958.t1
BRCT domain (IPR001357)	3.4	3e-03	13	21	NIOBTv3_g08255.t1,NIOBTv3_g11704.t1,NIOBTv3_g12685.t1,NIOBTv3_g15659.t1,NIOBTv3_g17945.t1,NIOBTv3_g18737.t1,NIOBTv3_g23222.t1,NIOBTv3_g23750.t1,NIOBTv3_g25341.t1,NIOBTv3_g26306.t1,NIOBTv3_g28233.t1,NIOBTv3_g35047.t1,NIOBTv3_g41640.t1
Cyclin, N-terminal (IPR006671)	3.3	1e-05	22	37	NIOBTv3_g01833.t1,NIOBTv3_g04424.t1,NIOBTv3_g05136.t1,NIOBTv3_g05961.t1,NIOBTv3_g12698.t1,NIOBTv3_g13293.t1,NIOBTv3_g14827.t1,NIOBTv3_g20167.t1,NIOBTv3_g21774.t1,NIOBTv3_g22020.t1,NIOBTv3_g24843.t1,NIOBTv3_g27862.t1,NIOBTv3_g27905.t1,NIOBTv3_g31760.t1,NIOBTv3_g32485.t1,NIOBTv3_g33884.t1,NIOBTv3_g33891.t1,NIOBTv3_g33949.t1,NIOBTv3_g35618.t1,NIOBTv3_g35953.t1,NIOBTv3_g38723.t1,NIOBTv3_g40931.t1
Bromo adjacent homology (BAH) domain (IPR001025)	3.2	2e-02	11	19	NIOBTv3_g00879.t1,NIOBTv3_g02696.t1,NIOBTv3_g07944.t1,NIOBTv3_g08667.t1,NIOBTv3_g09902.t1,NIOBTv3_g11507.t1,NIOBTv3_g19701.t1,NIOBTv3_g22920.t1,NIOBTv3_g25261.t1,NIOBTv3_g38478.t1,NIOBTv3_g40738.t1
SBP domain (IPR004333)	3.2	2e-02	11	19	NIOBTv3_g02501.t1,NIOBTv3_g03603.t1,NIOBTv3_g08075.t1,NIOBTv3_g13698.t1,NIOBTv3_g17834.t1,NIOBTv3_g19158.t1,NIOBTv3_g19850.t1,NIOBTv3_g22524.t1,NIOBTv3_g27953.t1,NIOBTv3_g30976.t1,NIOBTv3_g32308.t1
Linker histone H1/H5, domain H15 (IPR005818)	3.1	9e-02	8	14	NIOBTv3_g02893.t1,NIOBTv3_g06510.t1,NIOBTv3_g09037.t1,NIOBTv3_g23506.t1,NIOBTv3_g26115.t1,NIOBTv3_g27859.t1,NIOBTv3_g34511.t1,NIOBTv3_g36262.t1
Anaphase-promoting complex subunit 4, WD40 domain (IPR024977)	3.1	9e-02	8	14	NIOBTv3_g00640.t1,NIOBTv3_g20979.t1,NIOBTv3_g21587.t1,NIOBTv3_g22188.t1,NIOBTv3_g23682.t1,NIOBTv3_g26144.t1,NIOBTv3_g26733.t1,NIOBTv3_g33674.t1
Chaperonin Cpn60/TCP-1 family (IPR002423)	2.7	3e-02	13	26	NIOBTv3_g01681.t1,NIOBTv3_g08454.t1,NIOBTv3_g10828.t1,NIOBTv3_g14522.t1,NIOBTv3_g19207.t1,NIOBTv3_g24367.t1,NIOBTv3_g25610.t1,NIOBTv3_g26624.t1,NIOBTv3_g29078.t1,NIOBTv3_g30837.t1,NIOBTv3_g31250.t1,NIOBTv3_g34657.t1,NIOBTv3_g39968.t1
