Solanum,Solanum_Abbr,Orthogroup,Nicotiana,Nicotiana_Abbr,Type
Solyc07g049530.3.1,ACO1,NA,NA,NA,TRUE
Solyc12g005940.2.1,ACO2,NA,NA,NA,TRUE
Solyc07g049550.3.1,ACO3,NA,NA,NA,TRUE
Solyc02g081190.4.1,ACO4,OG0009518,NIOBTv3_g13660.t1,NoACO4,TRUE
Solyc07g026650.3.1,ACO5,OG0011874,NIOBTv3_g38689.t1,NoACO5,TRUE
Solyc02g036350.3.1,ACO6,OG0010683,NIOBTv3_g02352.t1,NoACO6,TRUE
Solyc06g060070.3.1,ACO7,NA,NA,NA,TRUE
Solyc01g095080.3.1,ACS2,NA,NA,NA,TRUE
Solyc05g050010.3.1,ACS4,NA,NA,NA,TRUE
Solyc11g028020.3.1,AGL11,OG0008089,NIOBTv3_g14436.t1,NoAGL11,TRUE
Solyc09g010210.3.1,Cel2,OG0012111,NIOBTv3_g19880.t1,NoCel2,TRUE
Solyc07g005840.2.1,Cel3,OG0015515,NIOBTv3_g12440.t1,NoCel3,TRUE
Solyc09g091510.3.1,CHS-1,NA,NA,NA,TRUE
Solyc05g053550.3.1,CHS-2,NA,NA,NA,TRUE
Solyc10g005060.4.1,CTOMT1,NA,NA,NA,TRUE
Solyc06g073720.3.1,EIL1,NA,NA,NA,TRUE
Solyc01g009170.4.1,EIL2,NA,NA,NA,TRUE
Solyc06g073730.2.1,EIL4,NA,NA,NA,TRUE
Solyc03g114840.3.1,EJ2/MADS1,NA,NA,NA,TRUE
Solyc06g051800.3.1,EXP1,NA,NIOBTv3_g17210.t1,NoEXP,TRUE
Solyc06g069430.3.1,FUL1,NA,NIOBTv3_g28929-D2.t1,NoFUL1,TRUE
Solyc03g114830.3.1,FUL2,NA,NIOBTv3_g39464.t1,NoFUL2,TRUE
Solyc03g006830.3.1,FYFL,OG0013272,NIOBTv3_g10096.t1,NoFYFL,TRUE
Solyc03g098240.3.1,GAD1,OG0014200,NIOBTv3_g11084.t1,NoGAD1,TRUE
Solyc11g011920.2.1,GAD2,NA,NA,NA,TRUE
Solyc01g005000.3.1,GAD3,NA,NA,NA,TRUE
Solyc11g010570.2.1,J,NA,NA,NA,TRUE
Solyc12g038510.2.1,J2,NA,NIOBTv3_g15806.t1,NoJ2,TRUE
Solyc05g012020.4.1,MADS-RIN,NA,NA,NA,TRUE
Solyc02g065730.2.1,MBP10,NA,NIOBTv3_g07845.t1,NoMBP10,TRUE
Solyc02g089210.4.1,MBP20,NA,NIOBT_gMBP20.t1,NoMBP20,TRUE
Solyc06g064840.4.1,MBP3,NA,NA,NA,TRUE
Solyc05g056620.2.1,MC,OG0015367,NIOBTv3_g18077.t1,NoMC,TRUE
Solyc10g006880.3.1,NAC-NOR,NA,NIOBTv3_g08302.t1,NoNOR,TRUE
Solyc09g075440.4.1,NR/ETR3,OG0012764,NIOBTv3_g10291.t1,NoETR3,TRUE
Solyc10g080210.2.1,PGA2A,NA,NA,NA,TRUE
Solyc03g111690.4.1,PL1,NA,NA,NA,TRUE
Solyc03g031860.3.1,PSY1,OG0009412,NIOBTv3_g17569.t1,NoPSY1,TRUE
Solyc08g066860.2.1,SlFKD,OG0011609,NIOBTv3_g12218.t1,NoFKD,FALSE
Solyc07g052960.3.1,SlFSR,OG0016440,NIOBTv3_g37943.t1,NoFSR,FALSE
Solyc05g005150.1.1,SlKFB,OG0010395,NIOBTv3_g35607.t1,NoKFB,FALSE
Solyc03g117740.3.1,Solyc03g117740.3.1,OG0012325,NIOBTv3_g22270.t1,NIOBTv3_g22270.t1,TRUE
Solyc04g072038.1.1,Solyc04g072038.1.1,OG0009423,NIOBTv3_g10008.t1,NIOBTv3_g10008.t1,TRUE
Solyc06g065310.3.1,Solyc06g065310.3.1,OG0016930,NIOBTv3_g12238.t1,NIOBTv3_g12238.t1,TRUE
Solyc07g064300.3.1,Solyc07g064300.3.1,OG0015487,NIOBTv3_g11662.t1,NIOBTv3_g11662.t1,TRUE
Solyc02g077920.4.1,SPL-CNR,OG0007837,NIOBTv3_g27953.t1,NoSPL-CNR,TRUE
Solyc01g092950.3.1,STM3,NA,NA,NA,TRUE
Solyc02g071730.4.1,TAG1,OG0009445,NIOBTv3_g22632-D2.t1,NoAG,TRUE
Solyc07g055920.4.1,TAGL1,OG0012874,NIOBTv3_g13969.t1,NoSHP,TRUE
Solyc02g089200.4.1,TM29,OG0007524,NIOBTv3_g14235.t1,NoSEP1,TRUE
Solyc01g093965.2.1,TM3,NA,NA,NA,TRUE
Solyc05g015750.3.1,TM5,NA,NA,NA,TRUE
Solyc01g006540.4.1,TOMLOXC,NA,NA,NA,TRUE
