PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF01657	Salt stress response/antifungal
PF01657	Salt stress response/antifungal
PF07714	Protein tyrosine kinase
PF05938	Plant self-incompatibility protein S1
PF10294	Lysine methyltransferase
PF00917	MATH domain
PF14802	TMEM192 family
PF08387	FBD
PF00249	Myb-like DNA-binding domain
PF04749	PLAC8 family
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00917	MATH domain
PF02221	ML domain
PF16589	BRCT domain, a BRCA1 C-terminus domain
PF13923	Zinc finger, C3HC4 type (RING finger)
PF13771	PHD-like zinc-binding domain
PF00533	BRCA1 C Terminus (BRCT) domain
PF00069	Protein kinase domain
PF00560	Leucine Rich Repeat
PF08263	Leucine rich repeat N-terminal domain
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF02184	HAT (Half-A-TPR) repeat
PF17979	Cysteine rich domain with multizinc binding regions
PF00097	Zinc finger, C3HC4 type (RING finger)
PF03478	Protein of unknown function (DUF295)
PF00890	FAD binding domain
PF02910	Fumarate reductase flavoprotein C-term
PF12481	Aluminium induced protein
PF00334	Nucleoside diphosphate kinase
PF00817	impB/mucB/samB family
PF11799	impB/mucB/samB family C-terminal domain
PF01126	Heme oxygenase
PF01794	Ferric reductase like transmembrane component
PF08030	Ferric reductase NAD binding domain
PF08022	FAD-binding domain
PF00249	Myb-like DNA-binding domain
PF13418	Galactose oxidase, central domain
PF13418	Galactose oxidase, central domain
PF13418	Galactose oxidase, central domain
PF13418	Galactose oxidase, central domain
PF01344	Kelch motif
PF00505	HMG (high mobility group) box
PF00027	Cyclic nucleotide-binding domain
PF12796	Ankyrin repeats (3 copies)
PF12796	Ankyrin repeats (3 copies)
PF00520	Ion transport protein
PF11834	KHA, dimerisation domain of potassium ion channel
PF01869	BadF/BadG/BcrA/BcrD ATPase family
PF00875	DNA photolyase
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF08670	MEKHLA domain
PF00046	Homeodomain
PF01852	START domain
PF00314	Thaumatin family
PF08148	DSHCT (NUC185) domain
PF00270	DEAD/DEAH box helicase
PF12036	Protein of unknown function (DUF3522)
PF17862	AAA+ lid domain
PF17862	AAA+ lid domain
PF00004	ATPase family associated with various cellular activities (AAA)
PF00004	ATPase family associated with various cellular activities (AAA)
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF08268	F-box associated domain
PF14547	Hydrophobic seed protein
PF00395	S-layer homology domain
PF00257	Dehydrin
PF00450	Serine carboxypeptidase
PF00407	Pathogenesis-related protein Bet v I family
PF07571	TAF6 C-terminal HEAT repeat domain
PF02969	TATA box binding protein associated factor (TAF)
PF00916	Sulfate permease family
PF01740	STAS domain
PF01187	Macrophage migration inhibitory factor (MIF)
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00569	Zinc finger, ZZ type
PF00249	Myb-like DNA-binding domain
PF00248	Aldo/keto reductase family
PF13320	Domain of unknown function (DUF4091)
PF12638	Staygreen protein
PF00581	Rhodanese-like domain
PF00111	2Fe-2S iron-sulfur cluster binding domain
PF07839	Plant calmodulin-binding domain
PF02309	AUX/IAA family
PF00249	Myb-like DNA-binding domain
PF00249	Myb-like DNA-binding domain
PF00295	Glycosyl hydrolases family 28
PF05056	Protein of unknown function (DUF674)
PF03936	Terpene synthase family, metal binding domain
PF01397	Terpene synthase, N-terminal domain
PF00069	Protein kinase domain
PF14541	Xylanase inhibitor C-terminal
PF14543	Xylanase inhibitor N-terminal
PF00481	Protein phosphatase 2C
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00628	PHD-finger
PF16135	TPL-binding domain in jasmonate signalling
PF00646	F-box domain
PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00646	F-box domain
PF07723	Leucine Rich Repeat
PF02671	Paired amphipathic helix repeat
PF02671	Paired amphipathic helix repeat
PF01521	Iron-sulphur cluster biosynthesis
PF00141	Peroxidase
PF14365	Neprosin activation peptide
PF03080	Neprosin
PF08442	ATP-grasp domain
PF16114	ATP citrate lyase citrate-binding
PF08442	ATP-grasp domain
PF16114	ATP citrate lyase citrate-binding
PF08442	ATP-grasp domain
PF16114	ATP citrate lyase citrate-binding
PF05757	Oxygen evolving enhancer protein 3 (PsbQ)
PF05553	Cotton fibre expressed protein
PF00538	linker histone H1 and H5 family
PF01411	tRNA synthetases class II (A)
PF07973	Threonyl and Alanyl tRNA synthetase second additional domain
PF02272	DHHA1 domain
PF00544	Pectate lyase
PF00241	Cofilin/tropomyosin-type actin-binding protein
PF04265	Thiamin pyrophosphokinase, vitamin B1 binding domain
PF04263	Thiamin pyrophosphokinase, catalytic domain
PF08387	FBD
PF07723	Leucine Rich Repeat
PF01264	Chorismate synthase
PF03656	Pam16
PF03656	Pam16
PF00069	Protein kinase domain
PF00069	Protein kinase domain
PF07714	Protein tyrosine kinase
PF02298	Plastocyanin-like domain
PF00651	BTB/POZ domain
PF03000	NPH3 family
PF05183	RNA dependent RNA polymerase
PF00097	Zinc finger, C3HC4 type (RING finger)
PF13561	Enoyl-(Acyl carrier protein) reductase
PF00010	Helix-loop-helix DNA-binding domain
PF06886	Targeting protein for Xklp2 (TPX2)
PF13947	Wall-associated receptor kinase galacturonan-binding
PF00069	Protein kinase domain
PF01357	Pollen allergen
PF03330	Lytic transglycolase
PF04408	Helicase associated domain (HA2)
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF00270	DEAD/DEAH box helicase
PF00271	Helicase conserved C-terminal domain
PF01424	R3H domain
PF08246	Cathepsin propeptide inhibitor domain (I29)
PF00112	Papain family cysteine protease
PF14363	Domain associated at C-terminal with AAA
PF00004	ATPase family associated with various cellular activities (AAA)
PF02365	No apical meristem (NAM) protein
PF02365	No apical meristem (NAM) protein
PF07714	Protein tyrosine kinase
PF00917	MATH domain
PF00917	MATH domain
PF04520	Senescence regulator
PF01477	PLAT/LH2 domain
PF14541	Xylanase inhibitor C-terminal
PF14543	Xylanase inhibitor N-terminal
PF07718	Coatomer beta C-terminal region
PF01602	Adaptin N terminal region
PF14806	Coatomer beta subunit appendage platform
PF00010	Helix-loop-helix DNA-binding domain
PF12819	Malectin-like domain
PF00069	Protein kinase domain
PF13855	Leucine rich repeat
PF00656	Caspase domain
PF14368	Probable lipid transfer
PF07714	Protein tyrosine kinase
PF01657	Salt stress response/antifungal
PF01657	Salt stress response/antifungal
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF13639	Ring finger domain
PF00314	Thaumatin family
PF00069	Protein kinase domain
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00855	PWWP domain
PF04818	RNA polymerase II-binding domain.
PF00069	Protein kinase domain
