Orthogroup,Arabidopsis,Cucumis,Nicotiana,Solanum
OG0008927,AT1G01690.1,MELO3C006108T1,NIOBTv3_g09878.t1,Solyc01g094650.4.1
OG0008731,AT1G04980.1,MELO3C019722T1,NIOBTv3_g05039.t1,Solyc07g049450.3.1
OG0009296,AT1G07615.1,MELO3C012459T1,NIOBTv3_g04638.t1,Solyc04g058140.3.1
OG0008713,AT1G08465.1,MELO3C014527T1,NIOBTv3_g23983.t1,Solyc06g073920.3.1
OG0008777,AT1G08580.1,MELO3C006770T1,NIOBTv3_g19359.t1,Solyc03g096960.3.1
OG0008565,AT1G08760.1,MELO3C022442T1,NIOBTv3_g38754.t1,Solyc06g073110.3.1
OG0008856,AT1G16445.1,MELO3C019639T1,NIOBTv3_g13373.t1,Solyc10g005540.4.1
OG0009177,AT1G20300.1,MELO3C003729T1,NIOBTv3_g36837.t1,Solyc04g081950.4.1
OG0008600,AT1G25260.1,MELO3C023261T1,NIOBTv3_g03416.t1,Solyc01g104470.3.1
OG0008666,AT1G27630.1,MELO3C010964T1,NIOBTv3_g05348.t1,Solyc07g032480.3.1
OG0008448,AT1G32200.1,MELO3C003440T1,NIOBTv3_g04996.t1,Solyc08g076470.4.1
OG0009346,AT1G34350.2,MELO3C024753T1,NIOBTv3_g14515.t1,Solyc08g067830.3.1
OG0008140,AT1G51160.1,MELO3C005845T1,NIOBTv3_g33737.t1,Solyc03g007680.3.1
OG0009297,AT1G52343.1,MELO3C012963T1,NIOBTv3_g08818.t1,Solyc03g120180.3.1
OG0009300,AT1G56423.1,MELO3C004187T1,NIOBTv3_g16493.t1,Solyc01g100480.3.1
OG0008229,AT1G63670.1,MELO3C005681T1,NIOBTv3_g39239.t1,Solyc08g081160.3.1
OG0008813,AT1G64350.1,MELO3C016280T1,NIOBTv3_g27794.t1,Solyc08g082100.3.1
OG0009319,AT1G67420.2,MELO3C011454T1,NIOBTv3_g27451.t1,Solyc12g035500.3.1
OG0008513,AT1G79960.1,MELO3C024232T1,NIOBTv3_g08819.t1,Solyc03g120190.3.1
OG0009987,AT2G03050.1,MELO3C012106T1,NIOBTv3_g41459.t1,Solyc05g007840.3.1
OG0010071,AT2G15570.2,MELO3C018455T1,NIOBTv3_g11913.t1,Solyc01g108020.3.1
OG0009743,AT2G17695.1,MELO3C007951T1,NIOBTv3_g24960.t1,Solyc02g083180.4.1
OG0009883,AT2G21710.1,MELO3C012521T1,NIOBTv3_g25356.t1,Solyc01g109630.4.1
OG0009420,AT2G23093.1,MELO3C007612T1,NIOBTv3_g00341.t1,Solyc02g092660.3.1
OG0009814,AT2G24280.1,MELO3C004487T1,NIOBTv3_g10073.t1,Solyc07g005190.3.1
OG0009988,AT2G24395.1,MELO3C011169T1,NIOBTv3_g41823.t1,Solyc08g069230.3.1
OG0009867,AT2G36570.1,MELO3C009424T1,NIOBTv3_g11659.t1,Solyc09g008860.4.1
OG0009665,AT2G40760.1,MELO3C020168T1,NIOBTv3_g04083.t1,Solyc03g095760.3.1
OG0009483,AT2G43330.1,MELO3C017757T1,NIOBTv3_g31923.t1,Solyc06g073420.3.1
OG0009417,AT2G48020.2,MELO3C014417T1,NIOBTv3_g01630.t1,Solyc09g074230.4.1
OG0010493,AT3G02910.1,MELO3C021853T1,NIOBTv3_g03280.t1,Solyc03g097230.1.1
OG0010315,AT3G04600.1,MELO3C016671T1,NIOBTv3_g49936.t1,Solyc08g074410.4.1
OG0010370,AT3G04820.1,MELO3C024668T1,NIOBTv3_g30459.t1,Solyc01g097600.2.1
OG0010364,AT3G05500.1,MELO3C015310T1,NIOBTv3_g33600.t1,Solyc01g099680.3.1
OG0010376,AT3G05675.2,MELO3C008785T1,NIOBTv3_g13129.t1,Solyc01g007060.3.1
OG0010420,AT3G11590.1,MELO3C009502T1,NIOBTv3_g29843.t1,Solyc10g083190.3.1
OG0010286,AT3G13170.1,MELO3C024924T1,NIOBTv3_g02367.t1,Solyc07g065430.2.1
OG0010690,AT3G15080.1,MELO3C025620T1,NIOBTv3_g14550.t1,Solyc12g014060.2.1
OG0010437,AT3G17970.1,MELO3C017360T1,NIOBTv3_g14891.t1,Solyc03g118690.4.1
OG0010976,AT3G18500.3,MELO3C017294T1,NIOBTv3_g09246.t1,Solyc03g119710.4.1
OG0010796,AT3G19840.1,MELO3C024279T1,NIOBTv3_g31003.t1,Solyc04g008700.3.1
OG0010153,AT3G22100.1,MELO3C018792T1,NIOBTv3_g34330.t1,Solyc07g052930.3.1
OG0010562,AT3G27000.1,MELO3C008171T1,NIOBTv3_g36170.t1,Solyc02g094320.3.1
OG0010896,AT3G29185.2,MELO3C022015T1,NIOBTv3_g39380.t1,Solyc02g088350.4.1
OG0010139,AT3G49710.1,MELO3C008891T1,NIOBTv3_g03895.t1,Solyc01g102690.4.1
OG0010698,AT3G51270.1,MELO3C013997T1,NIOBTv3_g34327.t1,Solyc01g007120.3.1
OG0010146,AT3G52420.1,MELO3C014409T1,NIOBTv3_g32692.t1,Solyc06g084300.1.1
OG0010666,AT3G53220.1,MELO3C024468T1,NIOBTv3_g08867.t1,Solyc09g008290.4.1
OG0011523,AT4G11130.1,MELO3C017106T1,NIOBTv3_g26566.t1,Solyc03g114140.3.1
OG0011231,AT4G12590.1,MELO3C021687T1,NIOBTv3_g35807.t1,Solyc05g054100.3.1
OG0011114,AT4G19100.1,MELO3C013801T1,NIOBTv3_g36715.t1,Solyc12g096100.2.1
OG0011139,AT4G19150.1,MELO3C009827T1,NIOBTv3_g25257.t1,Solyc08g005520.3.1
OG0011354,AT4G20740.1,MELO3C005140T1,NIOBTv3_g07649.t1,Solyc01g068180.3.1
OG0011264,AT4G33910.1,MELO3C007611T1,NIOBTv3_g32055.t1,Solyc02g092710.3.1
OG0011261,AT4G33945.1,MELO3C018434T1,NIOBTv3_g02011.t1,Solyc11g044870.2.1
OG0011429,AT4G34960.1,MELO3C020806T1,NIOBTv3_g58589-D2.t1,Solyc01g111360.3.1
OG0011056,AT4G37130.1,MELO3C007529T1,NIOBTv3_g05535.t1,Solyc02g090230.4.1
OG0011971,AT5G01310.1,MELO3C009144T1,NIOBTv3_g36787.t1,Solyc09g005100.4.1
OG0012408,AT5G03080.1,MELO3C014679T1,NIOBTv3_g02538.t1,Solyc09g007450.3.1
OG0012548,AT5G03870.1,MELO3C009478T1,NIOBTv3_g24919.t1,Solyc09g009860.1.1
OG0012082,AT5G06990.1,MELO3C011807T1,NIOBTv3_g23504.t1,Solyc07g065420.1.1
OG0011973,AT5G12290.1,MELO3C014531T1,NIOBTv3_g35952.t1,Solyc01g009030.4.1
OG0012475,AT5G18200.1,MELO3C006156T1,NIOBTv3_g18430.t1,Solyc10g050850.2.1
OG0012390,AT5G20220.1,MELO3C002903T1,NIOBTv3_g32327.t1,Solyc05g007090.4.1
OG0012047,AT5G25500.1,MELO3C003684T1,NIOBTv3_g17612.t1,Solyc08g061450.3.1
OG0012203,AT5G28830.1,MELO3C004376T1,NIOBTv3_g28604.t1,Solyc01g097350.4.1
OG0012626,AT5G37360.1,MELO3C010086T1,NIOBTv3_g29447.t1,Solyc04g050470.4.1
OG0011645,AT5G38360.1,MELO3C002748T1,NIOBTv3_g10399.t1,Solyc02g086080.4.1
OG0011918,AT5G43430.1,MELO3C006434T1,NIOBTv3_g02706.t1,Solyc09g089880.3.1
OG0012594,AT5G43670.1,MELO3C026763T1,NIOBTv3_g31945.t1,Solyc03g005380.3.1
OG0012640,AT5G46390.2,MELO3C002710T1,NIOBTv3_g26697.t1,Solyc02g071190.4.1
OG0012493,AT5G50960.1,MELO3C008983T1,NIOBTv3_g11988.t1,Solyc12g096690.2.1
OG0012174,AT5G51750.1,MELO3C006851T1,NIOBTv3_g00885.t1,Solyc03g006970.1.1
OG0011828,AT5G52820.1,MELO3C023992T1,NIOBTv3_g02790.t1,Solyc03g112530.3.1
OG0012510,AT5G58760.1,MELO3C025853T1,NIOBTv3_g33501.t1,Solyc09g031610.4.1
OG0012517,AT5G59770.1,MELO3C013676T1,NIOBTv3_g03023.t1,Solyc11g073130.2.1
OG0012357,AT5G64090.1,MELO3C019024T1,NIOBTv3_g11306.t1,Solyc10g047210.1.1
OG0012337,AT5G65000.1,MELO3C007756T1,NIOBTv3_g07768.t1,Solyc05g051590.3.1
