Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Vacuolar protein sorting-associated protein 13, SHR-binding domain (IPR009543)	10	2e-02	4	4	Solyc02g090130.4.1, Solyc08g077500.4.1, Solyc09g009370.4.1, Solyc11g045160.3.1
SMCs flexible hinge (IPR010935)	10	2e-02	4	4	Solyc02g087980.3.1, Solyc03g093250.2.1, Solyc06g073780.4.1, Solyc06g083870.3.1
Sieve element occlusion, N-terminal (IPR027942)	8.3	2e-02	5	6	Solyc03g111810.2.1, Solyc04g026020.3.1, Solyc05g013850.2.1, Solyc05g013860.4.1, Solyc05g013870.4.1
Sieve element occlusion, C-terminal (IPR027944)	8.3	2e-02	5	6	Solyc03g111810.2.1, Solyc04g026020.3.1, Solyc05g013850.2.1, Solyc05g013860.4.1, Solyc05g013870.4.1
MEKHLA (IPR013978)	8	8e-02	4	5	Solyc02g024070.3.1, Solyc03g120910.4.1, Solyc08g066500.4.1, Solyc11g069470.3.1
Glycosyl transferase, family 48 (IPR003440)	7.8	2e-03	7	9	Solyc01g006350.4.1, Solyc01g006370.3.1, Solyc01g073750.4.1, Solyc03g111570.4.1, Solyc07g053980.3.1, Solyc07g056260.4.1, Solyc07g061920.4.1
RecF/RecN/SMC, N-terminal (IPR003395)	7.1	4e-02	5	7	Solyc02g087980.3.1, Solyc03g093250.2.1, Solyc03g093260.3.1, Solyc06g073780.4.1, Solyc06g083870.3.1
1,3-beta-glucan synthase subunit FKS1-like, domain-1 (IPR026899)	6.7	2e-02	6	9	Solyc01g006370.3.1, Solyc01g073750.4.1, Solyc03g111570.4.1, Solyc07g053980.3.1, Solyc07g056260.4.1, Solyc07g061920.4.1
WHIM1 domain (IPR028942)	6.2	8e-02	5	8	Solyc02g063060.4.1, Solyc03g113500.4.1, Solyc07g053610.3.1, Solyc11g006200.2.1, Solyc11g066780.3.1
DDT domain (IPR018501)	6	3e-02	6	10	Solyc02g063060.4.1, Solyc03g113500.4.1, Solyc07g053610.3.1, Solyc11g006200.2.1, Solyc11g065160.3.1, Solyc11g066780.3.1
Kinesin motor domain (IPR001752)	5.5	8e-15	34	62	Solyc01g057320.3.1, Solyc01g091480.4.1, Solyc01g098980.4.1, Solyc01g108670.4.1, Solyc01g110380.3.1, Solyc03g005620.4.1, Solyc03g025470.4.1, Solyc03g114380.4.1, Solyc04g040110.3.1, Solyc04g076310.4.1, Solyc04g077540.4.1, Solyc06g009780.4.1, Solyc06g060140.4.1, Solyc06g075580.4.1, Solyc07g042560.4.1, Solyc07g064030.4.1, Solyc07g065210.4.1, Solyc07g065880.4.1, Solyc08g042030.3.1, Solyc08g079710.3.1, Solyc09g010060.3.1, Solyc09g010810.3.1, Solyc09g097860.4.1, Solyc10g054080.3.1, Solyc10g083310.2.1, Solyc10g086340.1.1, Solyc11g010920.3.1, Solyc11g044880.3.1, Solyc11g071730.3.1, Solyc11g072820.3.1, Solyc12g005250.2.1, Solyc12g011290.2.1, Solyc12g098630.2.1, Solyc12g099540.2.1
Tubulin (IPR000217)	5.3	6e-03	9	17	Solyc03g025730.3.1, Solyc03g111380.3.1, Solyc03g118760.4.1, Solyc04g077020.3.1, Solyc04g081490.3.1, Solyc07g052040.3.1, Solyc08g006890.3.1, Solyc10g085020.3.1, Solyc10g086760.2.1
Beta tubulin (IPR002453)	5	8e-02	6	12	Solyc03g025730.3.1, Solyc03g118760.4.1, Solyc04g081490.3.1, Solyc07g052040.3.1, Solyc10g085020.3.1, Solyc10g086760.2.1
Calcium-dependent channel, 7TM region, putative phosphate (IPR003864)	5	8e-02	6	12	Solyc02g036260.4.1, Solyc02g081030.4.1, Solyc02g088300.3.1, Solyc07g048110.4.1, Solyc08g076310.3.1, Solyc12g088230.3.1
10TM putative phosphate transporter, cytosolic domain (IPR027815)	5	8e-02	6	12	Solyc02g036260.4.1, Solyc02g081030.4.1, Solyc02g088300.3.1, Solyc07g048110.4.1, Solyc08g076310.3.1, Solyc12g088230.3.1
Tubulin/FtsZ, 2-layer sandwich domain (IPR018316)	4.7	2e-02	8	17	Solyc03g025730.3.1, Solyc03g111380.3.1, Solyc03g118760.4.1, Solyc04g077020.3.1, Solyc04g081490.3.1, Solyc08g006890.3.1, Solyc10g085020.3.1, Solyc10g086760.2.1
