Solyc01g111145.1.1	NIOBTv3_g31399
Solyc05g047530.3.1	NIOBTv3_g15045
Solyc07g064050.3.1	NIOBTv3_g19683
Solyc02g072240.3.1	NIOBTv3_g22443
Solyc08g006730.1.1	NIOBTv3_g07666
Solyc09g008280.2.1	NIOBTv3_g44246
Solyc09g007660.1.1	NIOBTv3_g07465
Solyc07g005840.2.1	NIOBTv3_g12440
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc02g086460.3.1	NIOBTv3_g30115
Solyc04g078990.3.1	NIOBTv3_g39115
Solyc09g014240.3.1	NIOBTv3_g15209
Solyc02g093090.1.1	NIOBTv3_g38001
Solyc06g066170.3.1	NIOBTv3_g18736
Solyc11g069540.2.1	NIOBTv3_g07555
Solyc12g014130.2.1	NIOBTv3_g22261
Solyc11g071970.2.1	NIOBTv3_g30657
Solyc08g008660.3.1	NIOBTv3_g13108
Solyc02g064955.1.1	NIOBTv3_g38001
Solyc10g076830.2.1	NIOBTv3_g15209
Solyc01g079170.3.1	NIOBTv3_g12777
Solyc05g041910.3.1	NIOBTv3_g02105
Solyc03g096030.3.1	NIOBTv3_g36147
Solyc04g014470.3.1	NIOBTv3_g27195
Solyc03g070440.3.1	NIOBTv3_g19523
Solyc07g065810.2.1	NIOBTv3_g02008
Solyc10g006500.3.1	NIOBTv3_g09123
Solyc09g009010.3.1	NIOBTv3_g41378
Solyc10g076830.2.1	NIOBTv3_g15209
Solyc11g069540.2.1	NIOBTv3_g07555
Solyc02g084570.3.1	NIOBTv3_g35114
Solyc03g080150.3.1	NIOBTv3_g15022
Solyc05g056450.3.1	NIOBTv3_g05189
Solyc06g050530.3.1	NIOBTv3_g60652
Solyc11g066640.1.1	NIOBTv3_g17909-D2
Solyc01g081040.3.1	NIOBTv3_g04094
Solyc05g005877.1.1	NIOBTv3_g41131
Solyc08g061250.3.1	NIOBTv3_g33147
Solyc01g081600.3.1	NIOBTv3_g35888
Solyc11g042560.1.1	NIOBTv3_g04235
Solyc09g010990.3.1	NIOBTv3_g60137
Solyc03g026220.3.1	NIOBTv3_g32974
Solyc09g005630.3.1	NIOBTv3_g34124
Solyc01g090120.3.1	NIOBTv3_g11277
Solyc02g093270.3.1	NIOBTv3_g04602
Solyc09g007420.3.1	NIOBTv3_g02542
Solyc01g107910.3.1	NIOBTv3_g63611-D3
Solyc10g011750.3.1	NIOBTv3_g29799
Solyc06g007370.1.1	NIOBTv3_g21713
Solyc02g065770.3.1	NIOBTv3_g15736
Solyc10g081720.2.1	NIOBTv3_g19897
Solyc11g069250.2.1	NIOBTv3_g28632
Solyc02g072490.3.1	NIOBTv3_g20323
Solyc02g093310.3.1	NIOBTv3_g29949
Solyc09g065570.3.1	NIOBTv3_g36718
Solyc09g072820.3.1	NIOBTv3_g36128
Solyc04g051768.1.1	NIOBTv3_g11111
Solyc09g098540.3.1	NIOBTv3_g32078-D2
Solyc03g096030.3.1	NIOBTv3_g36147
Solyc02g065530.3.1	NIOBTv3_g26105
Solyc08g077860.3.1	NIOBTv3_g02479
Solyc09g082080.1.1	NIOBTv3_g06147
Solyc07g042460.2.1	NIOBTv3_g31534
Solyc05g056030.3.1	NIOBTv3_g34662
Solyc09g007660.1.1	NIOBTv3_g07465
Solyc12g042010.1.1	NIOBTv3_g16220
Solyc01g109320.3.1	NIOBTv3_g21632
Solyc10g083700.3.1	NIOBTv3_g23771
Solyc07g063340.3.1	NIOBTv3_g11259
Solyc10g009350.3.1	NIOBTv3_g12931
Solyc06g050860.3.1	NIOBTv3_g11864
Solyc04g079860.1.1	NIOBTv3_g27822
Solyc11g069390.1.1	NIOBTv3_g27437
Solyc10g012170.3.1	NIOBTv3_g04868
Solyc08g065380.3.1	NIOBTv3_g28766
Solyc03g120980.3.1	NIOBTv3_g20840
Solyc07g053590.3.1	NIOBTv3_g04720
Solyc04g054250.3.1	NIOBTv3_g30422
Solyc03g096820.3.1	NIOBTv3_g59708
Solyc10g018640.2.1	NIOBTv3_g13699
Solyc01g090870.1.1	NIOBTv3_g10030
Solyc09g089990.3.1	NIOBTv3_g08731
Solyc11g066320.2.1	NIOBTv3_g32944
Solyc03g080180.3.1	NIOBTv3_g31802
Solyc07g063880.3.1	NIOBTv3_g23753
Solyc10g083410.1.1	NIOBTv3_g05248
Solyc07g005100.3.1	NIOBTv3_g36736-D2
Solyc05g046290.3.1	NIOBTv3_g09740
Solyc02g086840.3.1	NIOBTv3_g31211
Solyc02g087430.3.1	NIOBTv3_g12611
Solyc10g007280.3.1	NIOBTv3_g32189
Solyc12g006110.2.1	NIOBTv3_g38300
Solyc12g006270.2.1	NIOBTv3_g05002
Solyc11g069840.2.1	NIOBTv3_g14003
Solyc10g083410.1.1	NIOBTv3_g05248
Solyc03g113390.3.1	NIOBTv3_g08503
Solyc12g056220.2.1	NIOBTv3_g22343-D2
Solyc05g047530.3.1	NIOBTv3_g15045
Solyc09g010880.3.1	NIOBTv3_g26820
Solyc07g042520.3.1	NIOBTv3_g38151
Solyc06g060760.3.1	NIOBTv3_g07059
Solyc04g074820.2.1	NIOBTv3_g38307
Solyc09g092330.2.1	NIOBTv3_g21996
Solyc04g015020.3.1	NIOBTv3_g02284
Solyc11g012660.2.1	NIOBTv3_g02285
Solyc07g053840.1.1	NIOBTv3_g27226-D2
Solyc09g009970.3.1	NIOBTv3_g16138
Solyc01g105070.3.1	NIOBTv3_g29168
Solyc09g011190.1.1	NIOBTv3_g05915
Solyc04g077330.3.1	NIOBTv3_g23948
Solyc02g086270.3.1	NIOBTv3_g26435
Solyc11g012170.1.1	NIOBTv3_g30649
Solyc02g081970.3.1	NIOBTv3_g12170
Solyc07g039310.1.1	NIOBTv3_g04076
Solyc09g092330.2.1	NIOBTv3_g21996
Solyc06g068770.3.1	NIOBTv3_g14114
Solyc03g115690.1.1	NIOBTv3_g23524
Solyc09g009240.1.1	NIOBTv3_g30409
Solyc05g052400.3.1	NIOBTv3_g64623
Solyc04g080270.3.1	NIOBTv3_g13668
Solyc03g114900.3.1	NIOBTv3_g22531
Solyc11g069960.2.1	NIOBTv3_g06090
Solyc05g012730.1.1	NIOBTv3_g05878
Solyc05g007870.2.1	NIOBTv3_g07349
Solyc06g009190.3.1	NIOBTv3_g40928
Solyc12g014200.2.1	NIOBTv3_g56734
Solyc01g086840.3.1	NIOBTv3_g11432
Solyc06g050920.3.1	NIOBTv3_g10816
Solyc10g078510.2.1	NIOBTv3_g26158
Solyc02g071620.3.1	NIOBTv3_g33495
Solyc09g090980.3.1	NIOBTv3_g18781-D2
Solyc02g083527.1.1	NIOBTv3_g03376
Solyc05g009550.3.1	NIOBTv3_g01351
Solyc01g005120.3.1	NIOBTv3_g34274
Solyc03g082550.3.1	NIOBTv3_g20986
Solyc04g080550.3.1	NIOBTv3_g30375
Solyc03g115500.3.1	NIOBTv3_g39689
Solyc04g017720.3.1	NIOBTv3_g04965-D2
Solyc12g015800.2.1	NIOBTv3_g02008-D2
Solyc05g052450.3.1	NIOBTv3_g17420
Solyc01g080010.2.1	NIOBTv3_g23271
Solyc09g072780.2.1	NIOBTv3_g15660
Solyc10g075070.2.1	NIOBTv3_g62342-D3
Solyc03g120730.3.1	NIOBTv3_g26768
Solyc07g042160.3.1	NIOBTv3_g17242
Solyc07g041720.1.1	NIOBTv3_g08362
Solyc10g009590.3.1	NIOBTv3_g23177
Solyc12g088760.1.1	NIOBTv3_g07172
Solyc04g076790.3.1	NIOBTv3_g25960
Solyc10g009480.3.1	NIOBTv3_g26504
Solyc12g095980.2.1	NIOBTv3_g11255
Solyc02g077080.3.1	NIOBTv3_g15923
Solyc12g005750.1.1	NIOBTv3_g62883
Solyc01g107590.3.1	NIOBTv3_g23398
Solyc01g008640.3.1	NIOBTv3_g29999
Solyc03g118940.3.1	NIOBTv3_g10836
Solyc09g074890.1.1	NIOBTv3_g01125
Solyc12g049500.2.1	NIOBTv3_g08153
Solyc12g098490.2.1	NIOBTv3_g04474
Solyc05g054860.1.1	NIOBTv3_g12997
Solyc01g102340.3.1	NIOBTv3_g38619
Solyc04g079350.1.1	NIOBTv3_g14232
Solyc07g051870.1.1	NIOBTv3_g13516
Solyc12g056300.2.1	NIOBTv3_g38972
Solyc12g098810.2.1	NIOBTv3_g00811
Solyc08g006740.3.1	NIOBTv3_g37460-D2
Solyc05g053810.3.1	NIOBTv3_g29825
Solyc01g094070.3.1	NIOBTv3_g14948
Solyc08g080650.3.1	NIOBTv3_g38444
Solyc12g088895.1.1	NIOBTv3_g11027
Solyc04g080790.3.1	NIOBTv3_g28747
Solyc09g007860.3.1	NIOBTv3_g03771
Solyc10g076710.2.1	NIOBTv3_g34064
Solyc04g074480.3.1	NIOBTv3_g56022
Solyc08g077020.1.1	NIOBTv3_g07905
Solyc11g007540.2.1	NIOBTv3_g22564
Solyc12g044330.2.1	NIOBTv3_g19381
Solyc06g071690.3.1	NIOBTv3_g11057
Solyc04g074480.3.1	NIOBTv3_g56022
Solyc02g070940.1.1	NIOBTv3_g14363
Solyc01g079370.3.1	NIOBTv3_g07865
Solyc08g078550.1.1	NIOBTv3_g29392
Solyc03g123410.1.1	NIOBTv3_g29884
Solyc04g025650.3.1	NIOBTv3_g19050
Solyc05g052300.3.1	NIOBTv3_g20408
Solyc09g098160.3.1	NIOBTv3_g33291
Solyc03g093360.3.1	NIOBTv3_g14188
Solyc07g055780.3.1	NIOBTv3_g61398-D2
Solyc07g063350.3.1	NIOBTv3_g11258
Solyc03g082470.3.1	NIOBTv3_g13685
Solyc06g074040.1.1	NIOBTv3_g04753
Solyc04g063350.3.1	NIOBTv3_g25158
Solyc01g109390.3.1	NIOBTv3_g36580
Solyc10g009480.3.1	NIOBTv3_g26504
Solyc03g033550.3.1	NIOBTv3_g21944
Solyc06g082440.1.1	NIOBTv3_g03193
Solyc03g058160.3.1	NIOBTv3_g07782
Solyc02g085950.3.1	NIOBTv3_g09526-D4
Solyc06g051220.1.1	NIOBTv3_g12126
Solyc09g083400.3.1	NIOBTv3_g30747
Solyc06g051500.3.1	NIOBTv3_g02147
Solyc05g015320.3.1	NIOBTv3_g07638
Solyc05g056170.3.1	NIOBTv3_g16794
Solyc06g075650.3.1	NIOBTv3_g39701
Solyc07g054230.3.1	NIOBTv3_g03203
Solyc12g005650.2.1	NIOBTv3_g08659
Solyc02g064940.1.1	NIOBTv3_g20808-D5
Solyc06g071820.3.1	NIOBTv3_g00302
Solyc12g009200.2.1	NIOBTv3_g10087
Solyc06g075220.1.1	NIOBTv3_g28632-D2
Solyc03g005780.3.1	NIOBTv3_g39876-D5
Solyc11g066400.1.1	NIOBTv3_g12201
Solyc10g050160.2.1	NIOBTv3_g57887-D2
Solyc02g084860.1.1	NIOBTv3_g27893
Solyc01g079470.3.1	NIOBTv3_g18470
Solyc05g052400.3.1	NIOBTv3_g64623
Solyc02g089350.3.1	NIOBTv3_g04965-D2
Solyc04g054710.3.1	NIOBTv3_g31080
Solyc10g038080.2.1	NIOBTv3_g18212
Solyc08g067620.2.1	NIOBTv3_g23886
Solyc02g085950.3.1	NIOBTv3_g09526-D4
Solyc12g006140.2.1	NIOBTv3_g03871
Solyc10g079860.2.1	NIOBTv3_g12301
Solyc12g042360.2.1	NIOBTv3_g18394
Solyc06g074710.1.1	NIOBTv3_g17909
Solyc05g052610.3.1	NIOBTv3_g40987
Solyc02g086530.3.1	NIOBTv3_g18287
Solyc08g006740.3.1	NIOBTv3_g37460-D2
Solyc12g098960.2.1	NIOBTv3_g20704
Solyc01g109590.3.1	NIOBTv3_g25362
Solyc02g085950.3.1	NIOBTv3_g09526-D4
Solyc01g090970.3.1	NIOBTv3_g00680
Solyc04g007795.1.1	NIOBTv3_g01128
Solyc11g069430.2.1	NIOBTv3_g27433
Solyc02g091260.1.1	NIOBTv3_g07064
Solyc03g007090.1.1	NIOBTv3_g32935
Solyc02g091920.3.1	NIOBTv3_g24797
Solyc11g011850.2.1	NIOBTv3_g09163
Solyc01g112070.3.1	NIOBTv3_g23418
Solyc11g044460.2.1	NIOBTv3_g33641-D2
Solyc11g051160.2.1	NIOBTv3_g08249
Solyc08g081790.2.1	NIOBTv3_g24272
Solyc04g082200.2.1	NIOBTv3_g10422
Solyc02g077720.3.1	NIOBTv3_g21225
Solyc07g053540.1.1	NIOBTv3_g30158
Solyc05g014000.3.1	NIOBTv3_g08453
Solyc11g008880.2.1	NIOBTv3_g03152
Solyc07g042490.1.1	NIOBTv3_g27554
Solyc07g005910.3.1	NIOBTv3_g10160
Solyc06g068650.3.1	NIOBTv3_g10638
Solyc02g091890.2.1	NIOBTv3_g03618
Solyc02g091890.2.1	NIOBTv3_g03618
Solyc02g091890.2.1	NIOBTv3_g03618
Solyc02g091890.2.1	NIOBTv3_g03618
Solyc01g103050.3.1	NIOBTv3_g20678
Solyc09g014350.3.1	NIOBTv3_g30297
Solyc04g007470.3.1	NIOBTv3_g00028
Solyc09g011970.2.1	NIOBTv3_g27562
Solyc12g010380.2.1	NIOBTv3_g13102
Solyc01g103360.3.1	NIOBTv3_g62935
Solyc03g112330.3.1	NIOBTv3_g31938
Solyc06g009290.3.1	NIOBTv3_g30488
Solyc07g065165.1.1	NIOBTv3_g02096
Solyc05g056170.3.1	NIOBTv3_g16794
Solyc10g081510.2.1	NIOBTv3_g56331-D2
Solyc02g071220.3.1	NIOBTv3_g26694
Solyc11g005760.2.1	NIOBTv3_g37983
Solyc11g069430.2.1	NIOBTv3_g27433
