PF00270	DEAD/DEAH box helicase
PF00271	Helicase conserved C-terminal domain
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00335	Tetraspanin family
PF18368	Exo-beta-D-glucosaminidase Ig-fold domain
PF00703	Glycosyl hydrolases family 2
PF03732	Retrotransposon gag protein
PF08263	Leucine rich repeat N-terminal domain
PF00639	PPIC-type PPIASE domain
PF13516	Leucine Rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF08263	Leucine rich repeat N-terminal domain
PF01416	tRNA pseudouridine synthase
PF01300	Telomere recombination
PF07714	Protein tyrosine kinase
PF00069	Protein kinase domain
PF05577	Serine carboxypeptidase S28
PF00847	AP2 domain
PF00646	F-box domain
PF08263	Leucine rich repeat N-terminal domain
PF13855	Leucine rich repeat
PF02365	No apical meristem (NAM) protein
PF14571	Stress-induced protein Di19, C-terminal
PF00753	Metallo-beta-lactamase superfamily
PF07393	Exocyst complex component Sec10
PF07393	Exocyst complex component Sec10
PF00271	Helicase conserved C-terminal domain
PF08797	HIRAN domain
PF00097	Zinc finger, C3HC4 type (RING finger)
PF00176	SNF2 family N-terminal domain
PF01230	HIT domain
PF03018	Dirigent-like protein
PF00684	DnaJ central domain
PF01556	DnaJ C terminal domain
PF00226	DnaJ domain
PF00122	E1-E2 ATPase
PF13246	Cation transport ATPase (P-type)
PF00702	haloacid dehalogenase-like hydrolase
PF00689	Cation transporting ATPase, C-terminus
PF00012	Hsp70 protein
PF01145	SPFH domain / Band 7 family
PF01926	50S ribosome-binding GTPase
PF04646	Protein of unknown function, DUF604
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF05627	Cleavage site for pathogenic type III effector avirulence factor Avr
PF13639	Ring finger domain
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF08284	Retroviral aspartyl protease
PF03552	Cellulose synthase
PF14569	Zinc-binding RING-finger
PF13949	ALIX V-shaped domain binding to HIV
PF03097	BRO1-like domain
PF00335	Tetraspanin family
PF01535	PPR repeat
PF00781	Diacylglycerol kinase catalytic domain
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
PF15801	zf-MYND-like zinc finger, mRNA-binding
PF09353	Domain of unknown function (DUF1995)
PF03514	GRAS domain family
PF00795	Carbon-nitrogen hydrolase
PF09649	Histone chaperone domain CHZ
PF00752	XPG N-terminal domain
PF00867	XPG I-region
PF02362	B3 DNA binding domain
PF00246	Zinc carboxypeptidase
PF03105	SPX domain
PF00407	Pathogenesis-related protein Bet v I family
PF00931	NB-ARC domain
PF00931	NB-ARC domain
PF09749	Uncharacterised conserved protein
PF01873	Domain found in IF2B/IF5
PF02020	eIF4-gamma/eIF5/eIF2-epsilon
PF00179	Ubiquitin-conjugating enzyme
PF01399	PCI domain
PF13041	PPR repeat family
PF01535	PPR repeat
PF01535	PPR repeat
PF00646	F-box domain
PF00476	DNA polymerase family A
PF01612	3'-5' exonuclease
PF00931	NB-ARC domain
PF04724	Glycosyltransferase family 17
PF01486	K-box region
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF03911	Sec61beta family
PF13855	Leucine rich repeat
PF00010	Helix-loop-helix DNA-binding domain
PF06888	Putative Phosphatase
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF14714	KH-domain-like of EngA bacterial GTPase enzymes, C-terminal
PF02365	No apical meristem (NAM) protein
PF02469	Fasciclin domain
PF09331	Domain of unknown function (DUF1985)
PF05529	Bap31/Bap29 transmembrane region
PF03169	OPT oligopeptide transporter protein
PF12697	Alpha/beta hydrolase family
PF00561	alpha/beta hydrolase fold
PF00056	lactate/malate dehydrogenase, NAD binding domain
PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02701	Dof domain, zinc finger
PF00614	Phospholipase D Active site motif
PF00614	Phospholipase D Active site motif
PF12357	Phospholipase D C terminal
PF00168	C2 domain
PF06507	Auxin response factor
PF11965	Domain of unknown function (DUF3479)
PF02514	CobN/Magnesium Chelatase
PF02514	CobN/Magnesium Chelatase
PF00183	Hsp90 protein
PF00183	Hsp90 protein
PF02374	Anion-transporting ATPase
PF02458	Transferase family
PF04427	Brix domain
PF00967	Barwin family
PF08263	Leucine rich repeat N-terminal domain
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF03195	Lateral organ boundaries (LOB) domain
PF00046	Homeodomain
PF12552	Protein of unknown function (DUF3741)
PF14309	Domain of unknown function (DUF4378)
PF14383	DUF761-associated sequence motif
PF13920	Zinc finger, C3HC4 type (RING finger)
PF17801	Alpha galactosidase C-terminal beta sandwich domain
PF16499	Alpha galactosidase A
PF00232	Glycosyl hydrolase family 1
PF14111	Domain of unknown function (DUF4283)
PF02298	Plastocyanin-like domain
PF14543	Xylanase inhibitor N-terminal
PF14541	Xylanase inhibitor C-terminal
PF06839	GRF zinc finger
PF05019	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF05019	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF00149	Calcineurin-like phosphoesterase
PF16891	Serine-threonine protein phosphatase N-terminal domain
PF05056	Protein of unknown function (DUF674)
PF04178	Got1/Sft2-like family
PF07722	Peptidase C26
PF17047	Synaptotagmin-like mitochondrial-lipid-binding domain
PF00168	C2 domain
PF00168	C2 domain
PF00294	pfkB family carbohydrate kinase
PF00999	Sodium/hydrogen exchanger family
PF00141	Peroxidase
PF00005	ABC transporter
PF01253	Translation initiation factor SUI1
PF01554	MatE
PF01554	MatE
PF01212	Beta-eliminating lyase
PF00462	Glutaredoxin
PF00664	ABC transporter transmembrane region
PF00664	ABC transporter transmembrane region
PF00005	ABC transporter
PF00005	ABC transporter
PF04525	LURP-one-related
PF00009	Elongation factor Tu GTP binding domain
PF03143	Elongation factor Tu C-terminal domain
PF03144	Elongation factor Tu domain 2
PF13456	Reverse transcriptase-like
PF03168	Late embryogenesis abundant protein
PF14299	Phloem protein 2
PF00439	Bromodomain
PF17035	Bromodomain extra-terminal - transcription regulation
PF13181	Tetratricopeptide repeat
PF00730	HhH-GPD superfamily base excision DNA repair protein
PF14815	NUDIX domain
PF09763	Exocyst complex component Sec3
PF09763	Exocyst complex component Sec3
PF15277	Exocyst complex component SEC3 N-terminal PIP2 binding PH
PF00069	Protein kinase domain
PF01453	D-mannose binding lectin
PF08276	PAN-like domain
PF01204	Trehalase
PF13639	Ring finger domain
PF00282	Pyridoxal-dependent decarboxylase conserved domain
PF00013	KH domain
PF00013	KH domain
PF00013	KH domain
PF14432	DYW family of nucleic acid deaminases
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF13041	PPR repeat family
PF13041	PPR repeat family
