OG0017569	IPR013087
OG0016864	IPR001457
OG0015775	IPR001694
OG0015750	IPR001750
OG0016850	IPR001648
OG0016842	IPR005797
OG0016844	IPR017443
OG0016844	IPR000685
OG0016859	IPR020547
OG0016859	IPR001469
OG0016859	IPR020546
OG0016855	IPR005798
OG0016855	IPR005870
OG0010602	IPR000595
OG0010602	IPR006153
OG0018811	IPR000719
OG0018811	IPR001245
OG0018811	IPR004240
OG0011128	IPR005135
OG0009277	IPR020864
OG0009271	IPR005986
OG0009271	IPR000534
OG0009271	IPR012280
OG0010380	IPR000014
OG0010380	IPR001810
OG0011188	IPR020683
OG0011188	IPR026961
OG0011188	IPR002110
OG0009736	IPR002048
OG0009737	IPR015353
OG0009737	IPR001214
OG0009302	IPR000086
OG0010965	IPR018997
OG0010965	IPR001012
OG0017463	IPR018467
OG0017463	IPR010399
OG0010969	IPR001810
OG0009390	IPR001372
OG0018800	IPR002347
OG0010379	IPR001478
OG0011958	IPR006195
OG0011958	IPR004364
OG0011958	IPR002313
OG0011958	IPR004365
OG0011958	IPR018149
OG0018324	IPR001087
OG0013215	IPR001471
OG0011995	IPR001005
OG0011995	IPR017930
OG0010018	IPR002885
OG0009373	IPR006958
OG0009373	IPR029004
OG0011472	IPR003832
OG0016098	IPR004843
OG0016098	IPR006186
OG0018043	IPR016140
OG0010277	IPR007315
OG0011436	IPR032570
OG0013931	IPR007304
OG0012841	IPR006073
OG0014037	IPR011513
OG0014037	IPR014857
OG0017439	IPR001229
OG0013370	IPR001810
OG0009682	IPR002759
OG0010320	IPR000559
OG0009179	IPR006843
OG0011500	IPR003440
OG0013253	IPR000073
OG0018849	IPR000719
OG0018849	IPR001480
OG0019025	IPR000008
OG0019025	IPR013583
OG0019020	IPR027329
OG0013087	IPR002885
OG0013111	IPR004640
OG0013111	IPR001623
OG0013111	IPR009073
OG0013246	IPR003169
OG0013246	IPR001214
OG0013246	IPR003616
OG0011318	IPR019448
OG0012361	IPR002885
OG0011275	IPR000504
OG0015734	IPR001650
OG0015734	IPR011709
OG0015734	IPR014001
OG0015734	IPR011545
OG0015734	IPR007502
OG0018497	IPR020966
OG0013092	IPR007053
OG0011954	IPR015285
OG0011530	IPR013583
OG0011530	IPR000008
OG0013136	IPR002885
OG0018365	IPR004345
OG0017912	IPR006458
OG0017913	IPR006941
OG0017424	IPR002885
OG0017424	IPR032867
OG0009196	IPR003409
OG0017809	IPR017451
OG0009959	IPR026057
OG0009959	IPR025846
OG0014082	IPR010765
OG0010195	IPR002403
OG0010195	IPR001128
OG0011608	IPR002109
OG0011608	IPR000591
OG0011608	IPR006869
OG0010819	IPR001611
OG0010819	IPR000719
OG0011759	IPR013026
OG0010434	IPR013766
OG0010434	IPR005746
OG0013045	IPR019370
OG0013591	IPR011599
OG0013591	IPR004127
OG0012523	IPR004327
OG0013595	IPR005719
OG0013595	IPR005720
OG0009685	IPR004177
OG0013389	IPR000504
OG0009690	IPR001509
OG0010502	IPR007312
OG0019061	IPR004827
OG0010651	IPR004424
OG0010651	IPR006204
OG0013377	IPR013946
OG0017465	IPR006671
OG0017465	IPR004367
OG0013101	IPR001453
OG0013101	IPR005111
OG0013101	IPR005110
OG0010968	IPR000253
OG0010620	IPR021933
OG0010620	IPR007042
OG0016449	IPR023801
OG0016449	IPR000286
OG0013608	IPR021495
OG0018050	IPR000048
OG0018050	IPR025064
OG0016883	IPR001471
OG0017999	IPR004159
OG0013529	IPR006629
OG0018340	IPR001611
OG0018340	IPR013210
OG0015247	IPR016340
OG0013376	IPR030395
OG0017557	IPR006680
OG0010617	IPR006680
OG0018619	IPR004696
OG0018619	IPR004853
OG0017447	IPR007679
OG0009398	IPR002885
OG0009397	IPR002130
OG0017917	IPR001356
OG0017917	IPR003106
OG0017917	IPR000047
OG0009975	IPR005182
OG0009799	IPR007681
OG0015282	IPR006439
OG0015282	IPR041492
OG0015282	IPR011949
OG0009827	IPR006694
OG0016882	IPR011016
OG0016882	IPR022143
OG0009783	IPR002401
OG0009783	IPR001128
OG0017624	IPR001005
OG0017624	IPR017930
OG0009872	IPR014811
OG0009872	IPR003165
OG0009872	IPR003100
OG0009872	IPR032474
OG0009872	IPR032472
OG0018418	IPR013210
OG0018418	IPR001611
OG0017096	IPR000157
OG0017096	IPR002182
OG0019232	IPR008507
OG0016852	IPR000440
OG0017769	IPR033248
OG0017769	IPR005474
OG0017769	IPR005478
OG0017769	IPR005475
OG0018948	IPR011016
OG0009310	IPR004114
OG0013063	IPR033133
OG0013063	IPR001313
OG0013100	IPR001245
OG0013100	IPR000719
OG0010788	IPR024593
OG0010788	IPR001623
OG0013214	IPR000357
OG0013214	IPR041653
OG0013214	IPR021133
OG0018188	IPR005303
OG0018188	IPR005302
