IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain
IPR000719	Protein kinase domain
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR010264	Plant self-incompatibility S1
IPR019410	Lysine methyltransferase
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR029399	TMEM192 family
IPR006566	FBD domain
IPR001005	SANT/Myb domain
IPR017930	Myb domain
IPR017877	Myb-like domain
IPR006461	PLAC8 motif-containing protein
IPR006461	PLAC8 motif-containing protein
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR001680	WD40 repeat
IPR017986	WD40-repeat-containing domain
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR002083	MATH/TRAF domain
IPR003172	MD-2-related lipid-recognition domain
IPR001841	Zinc finger, RING-type

IPR001357	BRCT domain
IPR001357	BRCT domain

IPR001357	BRCT domain
IPR034732	Extended PHD (ePHD) domain
IPR001357	BRCT domain
IPR001611	Leucine-rich repeat
IPR000719	Protein kinase domain
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR000719	Protein kinase domain
IPR001611	Leucine-rich repeat
IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat


IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR001611	Leucine-rich repeat
IPR003107	HAT (Half-A-TPR) repeat
IPR013026	Tetratricopeptide repeat-containing domain
IPR001356	Homeobox domain
IPR001356	Homeobox domain
IPR040909	E3 ubiquitin-protein ligase CHFR, cysteine rich domain with multizinc binding
IPR001841	Zinc finger, RING-type
IPR018957	Zinc finger, C3HC4 RING-type
IPR005174	Domain unknown function DUF295
IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
IPR014006	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
IPR011281	Succinate dehydrogenase, flavoprotein subunit
IPR024286	Domain of unknown function DUF3700
IPR001564	Nucleoside diphosphate kinase
IPR001564	Nucleoside diphosphate kinase
IPR001564	Nucleoside diphosphate kinase
IPR001564	Nucleoside diphosphate kinase
IPR034907	Nucleoside diphosphate kinase-like domain
IPR001126	UmuC domain
IPR017961	DNA polymerase, Y-family, little finger domain
IPR001126	UmuC domain
IPR016053	Haem oxygenase-like
IPR000778	Cytochrome b245, heavy chain
IPR000778	Cytochrome b245, heavy chain
IPR000778	Cytochrome b245, heavy chain
IPR017927	FAD-binding domain, ferredoxin reductase-type
IPR013112	FAD-binding 8
IPR013130	Ferric reductase transmembrane component-like domain
IPR013121	Ferric reductase, NAD binding domain
IPR017930	Myb domain
IPR006447	Myb domain, plants
IPR001005	SANT/Myb domain




IPR006652	Kelch repeat type 1
IPR009071	High mobility group box domain
IPR009071	High mobility group box domain
IPR002110	Ankyrin repeat
IPR020683	Ankyrin repeat-containing domain
IPR020683	Ankyrin repeat-containing domain
IPR000595	Cyclic nucleotide-binding domain
IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR020683	Ankyrin repeat-containing domain
IPR005821	Ion transport domain
IPR002110	Ankyrin repeat
IPR002110	Ankyrin repeat
IPR002110	Ankyrin repeat
IPR021789	KHA domain
IPR000595	Cyclic nucleotide-binding domain
IPR021789	KHA domain
IPR002731	ATPase, BadF/BadG/BcrA/BcrD type
IPR006050	DNA photolyase, N-terminal
IPR006050	DNA photolyase, N-terminal
IPR008148	DNA photolyase class 2
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR017986	WD40-repeat-containing domain
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001356	Homeobox domain
IPR001356	Homeobox domain
IPR002913	START domain
IPR013978	MEKHLA
IPR002913	START domain
IPR001938	Thaumatin family
IPR001938	Thaumatin family
IPR011545	DEAD/DEAH box helicase domain
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR001650	Helicase, C-terminal
IPR012961	ATP-dependent RNA helicase Ski2, C-terminal
IPR021910	NGX6/PGAP6/MYMK
IPR041569	AAA ATPase, AAA+ lid domain
IPR041569	AAA ATPase, AAA+ lid domain
IPR003959	ATPase, AAA-type, core
IPR003959	ATPase, AAA-type, core
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR013187	F-box associated domain, type 3
